Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,llama,clases,rouge1,0.162,0.545,0.250
HU01,llama,clases,rouge2,0.056,0.200,0.087
HU01,llama,clases,rougeL,0.162,0.545,0.250
HU01,deepseek,clases,rouge1,0.148,0.727,0.246
HU01,deepseek,clases,rouge2,0.038,0.200,0.063
HU01,deepseek,clases,rougeL,0.148,0.727,0.246
HU01,gemini,clases,rouge1,0.150,0.545,0.235
HU01,gemini,clases,rouge2,0.026,0.100,0.041
HU01,gemini,clases,rougeL,0.125,0.455,0.196
HU01,claude,clases,rouge1,0.211,0.727,0.327
HU01,claude,clases,rouge2,0.054,0.200,0.085
HU01,claude,clases,rougeL,0.184,0.636,0.286
HU01,gpt,clases,rouge1,0.333,0.727,0.457
HU01,gpt,clases,rouge2,0.087,0.200,0.121
HU01,gpt,clases,rougeL,0.333,0.727,0.457
HU01,mistral,clases,rouge1,0.154,0.727,0.254
HU01,mistral,clases,rouge2,0.039,0.200,0.066
HU01,mistral,clases,rougeL,0.135,0.636,0.222
HU02,llama,clases,rouge1,0.184,0.538,0.275
HU02,llama,clases,rouge2,0.054,0.167,0.082
HU02,llama,clases,rougeL,0.158,0.462,0.235
HU02,deepseek,clases,rouge1,0.118,0.769,0.204
HU02,deepseek,clases,rouge2,0.024,0.167,0.042
HU02,deepseek,clases,rougeL,0.094,0.615,0.163
HU02,gemini,clases,rouge1,0.191,0.692,0.300
HU02,gemini,clases,rouge2,0.043,0.167,0.069
HU02,gemini,clases,rougeL,0.149,0.538,0.233
HU02,claude,clases,rouge1,0.195,0.615,0.296
HU02,claude,clases,rouge2,0.050,0.167,0.077
HU02,claude,clases,rougeL,0.171,0.538,0.259
HU02,gpt,clases,rouge1,0.333,0.615,0.432
HU02,gpt,clases,rouge2,0.087,0.167,0.114
HU02,gpt,clases,rougeL,0.292,0.538,0.378
HU02,mistral,clases,rouge1,0.417,0.385,0.400
HU02,mistral,clases,rouge2,0.182,0.167,0.174
HU02,mistral,clases,rougeL,0.417,0.385,0.400
HU03,llama,clases,rouge1,0.327,0.696,0.444
HU03,llama,clases,rouge2,0.125,0.273,0.171
HU03,llama,clases,rougeL,0.224,0.478,0.306
HU03,deepseek,clases,rouge1,0.171,0.522,0.258
HU03,deepseek,clases,rouge2,0.043,0.136,0.066
HU03,deepseek,clases,rougeL,0.143,0.435,0.215
HU03,gemini,clases,rouge1,0.231,0.652,0.341
HU03,gemini,clases,rouge2,0.109,0.318,0.163
HU03,gemini,clases,rougeL,0.185,0.522,0.273
HU03,claude,clases,rouge1,0.254,0.739,0.378
HU03,claude,clases,rouge2,0.136,0.409,0.205
HU03,claude,clases,rougeL,0.254,0.739,0.378
HU03,gpt,clases,rouge1,0.433,0.565,0.491
HU03,gpt,clases,rouge2,0.172,0.227,0.196
HU03,gpt,clases,rougeL,0.367,0.478,0.415
HU04,llama,clases,rouge1,0.239,0.593,0.340
HU04,llama,clases,rouge2,0.076,0.192,0.109
HU04,llama,clases,rougeL,0.194,0.481,0.277
HU04,deepseek,clases,rouge1,0.203,0.481,0.286
HU04,deepseek,clases,rouge2,0.063,0.154,0.090
HU04,deepseek,clases,rougeL,0.172,0.407,0.242
HU04,gemini,clases,rouge1,0.146,0.815,0.247
HU04,gemini,clases,rouge2,0.053,0.308,0.091
HU04,gemini,clases,rougeL,0.139,0.778,0.236
HU04,claude,clases,rouge1,0.193,0.778,0.309
HU04,claude,clases,rouge2,0.046,0.192,0.075
HU04,claude,clases,rougeL,0.174,0.704,0.279
HU04,gpt,clases,rouge1,0.260,0.481,0.338
HU04,gpt,clases,rouge2,0.122,0.231,0.160
HU04,gpt,clases,rougeL,0.240,0.444,0.312
HU04,mistral,clases,rouge1,0.186,0.296,0.229
HU04,mistral,clases,rouge2,0.071,0.115,0.088
HU04,mistral,clases,rougeL,0.163,0.259,0.200
HU05,llama,clases,rouge1,0.143,0.286,0.190
HU05,llama,clases,rouge2,0.037,0.077,0.050
HU05,llama,clases,rougeL,0.143,0.286,0.190
HU05,gemini,clases,rouge1,0.176,0.429,0.250
HU05,gemini,clases,rouge2,0.030,0.077,0.043
HU05,gemini,clases,rougeL,0.176,0.429,0.250
HU05,claude,clases,rouge1,0.200,0.500,0.286
HU05,claude,clases,rouge2,0.029,0.077,0.043
HU05,claude,clases,rougeL,0.200,0.500,0.286
HU05,gpt,clases,rouge1,0.389,0.500,0.438
HU05,gpt,clases,rouge2,0.059,0.077,0.067
HU05,gpt,clases,rougeL,0.389,0.500,0.438
HU05,mistral,clases,rouge1,0.350,0.500,0.412
HU05,mistral,clases,rouge2,0.105,0.154,0.125
HU05,mistral,clases,rougeL,0.300,0.429,0.353
HU06,llama,clases,rouge1,0.128,0.214,0.160
HU06,llama,clases,rouge2,0.022,0.037,0.027
HU06,llama,clases,rougeL,0.128,0.214,0.160
HU06,deepseek,clases,rouge1,0.176,0.107,0.133
HU06,deepseek,clases,rouge2,0.062,0.037,0.047
HU06,deepseek,clases,rougeL,0.176,0.107,0.133
HU06,gemini,clases,rouge1,0.113,0.250,0.156
HU06,gemini,clases,rouge2,0.016,0.037,0.023
HU06,gemini,clases,rougeL,0.113,0.250,0.156
HU06,claude,clases,rouge1,0.129,0.321,0.184
HU06,claude,clases,rouge2,0.014,0.037,0.021
HU06,claude,clases,rougeL,0.114,0.286,0.163
HU06,gpt,clases,rouge1,0.244,0.393,0.301
HU06,gpt,clases,rouge2,0.045,0.074,0.056
HU06,gpt,clases,rougeL,0.222,0.357,0.274
HU06,mistral,clases,rouge1,0.280,0.250,0.264
HU06,mistral,clases,rouge2,0.083,0.074,0.078
HU06,mistral,clases,rougeL,0.240,0.214,0.226
HU07,llama,clases,rouge1,0.184,0.500,0.269
HU07,llama,clases,rouge2,0.083,0.235,0.123
HU07,llama,clases,rougeL,0.163,0.444,0.239
HU07,deepseek,clases,rouge1,0.143,0.444,0.216
HU07,deepseek,clases,rouge2,0.036,0.118,0.056
HU07,deepseek,clases,rougeL,0.143,0.444,0.216
HU07,gemini,clases,rouge1,0.417,0.556,0.476
HU07,gemini,clases,rouge2,0.174,0.235,0.200
HU07,gemini,clases,rougeL,0.375,0.500,0.429
HU07,claude,clases,rouge1,0.385,0.556,0.455
HU07,claude,clases,rouge2,0.200,0.294,0.238
HU07,claude,clases,rougeL,0.346,0.500,0.409
HU07,gpt,clases,rouge1,0.550,0.611,0.579
HU07,gpt,clases,rouge2,0.263,0.294,0.278
HU07,gpt,clases,rougeL,0.450,0.500,0.474
HU07,mistral,clases,rouge1,0.471,0.444,0.457
HU07,mistral,clases,rouge2,0.250,0.235,0.242
HU07,mistral,clases,rougeL,0.412,0.389,0.400
HU08,llama,clases,rouge1,0.152,0.200,0.173
HU08,llama,clases,rouge2,0.022,0.029,0.025
HU08,llama,clases,rougeL,0.152,0.200,0.173
HU08,deepseek,clases,rouge1,0.238,0.286,0.260
HU08,deepseek,clases,rouge2,0.073,0.088,0.080
HU08,deepseek,clases,rougeL,0.238,0.286,0.260
HU08,gemini,clases,rouge1,0.525,0.600,0.560
HU08,gemini,clases,rouge2,0.205,0.235,0.219
HU08,gemini,clases,rougeL,0.450,0.514,0.480
HU08,claude,clases,rouge1,0.379,0.629,0.473
HU08,claude,clases,rouge2,0.158,0.265,0.198
HU08,claude,clases,rougeL,0.310,0.514,0.387
HU08,gpt,clases,rouge1,0.458,0.314,0.373
HU08,gpt,clases,rouge2,0.217,0.147,0.175
HU08,gpt,clases,rougeL,0.417,0.286,0.339
HU08,mistral,clases,rouge1,0.348,0.457,0.395
HU08,mistral,clases,rouge2,0.111,0.147,0.127
HU08,mistral,clases,rougeL,0.326,0.429,0.370
HU09,llama,clases,rouge1,0.379,0.658,0.481
HU09,llama,clases,rouge2,0.154,0.270,0.196
HU09,llama,clases,rougeL,0.273,0.474,0.346
HU09,deepseek,clases,rouge1,0.488,0.553,0.519
HU09,deepseek,clases,rouge2,0.286,0.324,0.304
HU09,deepseek,clases,rougeL,0.395,0.447,0.420
HU09,gemini,clases,rouge1,0.452,0.500,0.475
HU09,gemini,clases,rouge2,0.171,0.189,0.179
HU09,gemini,clases,rougeL,0.405,0.447,0.425
HU09,claude,clases,rouge1,0.373,0.500,0.427
HU09,claude,clases,rouge2,0.160,0.216,0.184
HU09,claude,clases,rougeL,0.275,0.368,0.315
HU09,gpt,clases,rouge1,0.356,0.553,0.433
HU09,gpt,clases,rouge2,0.121,0.189,0.147
HU09,gpt,clases,rougeL,0.288,0.447,0.351
HU09,mistral,clases,rouge1,0.706,0.632,0.667
HU09,mistral,clases,rouge2,0.394,0.351,0.371
HU09,mistral,clases,rougeL,0.559,0.500,0.528
HU10,llama,clases,rouge1,0.294,0.256,0.274
HU10,llama,clases,rouge2,0.121,0.105,0.113
HU10,llama,clases,rougeL,0.235,0.205,0.219
HU10,deepseek,clases,rouge1,0.143,0.154,0.148
HU10,deepseek,clases,rouge2,0.073,0.079,0.076
HU10,deepseek,clases,rougeL,0.143,0.154,0.148
HU10,gemini,clases,rouge1,0.220,0.462,0.298
HU10,gemini,clases,rouge2,0.037,0.079,0.050
HU10,gemini,clases,rougeL,0.183,0.385,0.248
HU10,claude,clases,rouge1,0.224,0.487,0.306
HU10,claude,clases,rouge2,0.048,0.105,0.066
