Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,gemini,clases,rouge1,0.171,0.636,0.269
HU01,gemini,clases,rouge2,0.050,0.200,0.080
HU01,gemini,clases,rougeL,0.171,0.636,0.269
HU01,claude,clases,rouge1,0.155,0.818,0.261
HU01,claude,clases,rouge2,0.035,0.200,0.060
HU01,claude,clases,rougeL,0.138,0.727,0.232
HU01,gpt,clases,rouge1,0.350,0.636,0.452
HU01,gpt,clases,rouge2,0.158,0.300,0.207
HU01,gpt,clases,rougeL,0.350,0.636,0.452
HU01,mistral,clases,rouge1,0.200,0.545,0.293
HU01,mistral,clases,rouge2,0.069,0.200,0.103
HU01,mistral,clases,rougeL,0.200,0.545,0.293
HU02,gemini,clases,rouge1,0.265,0.692,0.383
HU02,gemini,clases,rouge2,0.061,0.167,0.089
HU02,gemini,clases,rougeL,0.206,0.538,0.298
HU02,claude,clases,rouge1,0.229,0.615,0.333
HU02,claude,clases,rouge2,0.059,0.167,0.087
HU02,claude,clases,rougeL,0.200,0.538,0.292
HU02,gpt,clases,rouge1,0.500,0.615,0.552
HU02,gpt,clases,rouge2,0.133,0.167,0.148
HU02,gpt,clases,rougeL,0.438,0.538,0.483
HU02,mistral,clases,rouge1,0.333,0.615,0.432
HU02,mistral,clases,rouge2,0.130,0.250,0.171
HU02,mistral,clases,rougeL,0.250,0.462,0.324
HU03,llama,clases,rouge1,0.300,0.652,0.411
HU03,llama,clases,rouge2,0.102,0.227,0.141
HU03,llama,clases,rougeL,0.240,0.522,0.329
HU03,deepseek,clases,rouge1,0.283,0.565,0.377
HU03,deepseek,clases,rouge2,0.133,0.273,0.179
HU03,deepseek,clases,rougeL,0.261,0.522,0.348
HU03,gemini,clases,rouge1,0.175,0.739,0.283
HU03,gemini,clases,rouge2,0.083,0.364,0.136
HU03,gemini,clases,rougeL,0.165,0.696,0.267
HU03,claude,clases,rouge1,0.243,0.739,0.366
HU03,claude,clases,rouge2,0.116,0.364,0.176
HU03,claude,clases,rougeL,0.243,0.739,0.366
HU03,gpt,clases,rouge1,0.340,0.739,0.466
HU03,gpt,clases,rouge2,0.122,0.273,0.169
HU03,gpt,clases,rougeL,0.320,0.696,0.438
