Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,llama,clases,rouge1,0.163,0.636,0.259
HU01,llama,clases,rouge2,0.048,0.200,0.077
HU01,llama,clases,rougeL,0.163,0.636,0.259
HU01,deepseek,clases,rouge1,0.200,0.636,0.304
HU01,deepseek,clases,rouge2,0.059,0.200,0.091
HU01,deepseek,clases,rougeL,0.171,0.545,0.261
HU01,gemini,clases,rouge1,0.208,0.455,0.286
HU01,gemini,clases,rouge2,0.043,0.100,0.061
HU01,gemini,clases,rougeL,0.167,0.364,0.229
HU01,claude,clases,rouge1,0.231,0.818,0.360
HU01,claude,clases,rouge2,0.053,0.200,0.083
HU01,claude,clases,rougeL,0.231,0.818,0.360
HU01,gpt,clases,rouge1,0.375,0.545,0.444
HU01,gpt,clases,rouge2,0.133,0.200,0.160
HU01,gpt,clases,rougeL,0.375,0.545,0.444
HU01,mistral,clases,rouge1,0.115,0.545,0.190
HU01,mistral,clases,rouge2,0.039,0.200,0.066
HU01,mistral,clases,rougeL,0.115,0.545,0.190
HU02,llama,clases,rouge1,0.133,0.615,0.219
HU02,llama,clases,rouge2,0.034,0.167,0.056
HU02,llama,clases,rougeL,0.117,0.538,0.192
HU02,deepseek,clases,rouge1,0.160,0.615,0.254
HU02,deepseek,clases,rouge2,0.041,0.167,0.066
HU02,deepseek,clases,rougeL,0.140,0.538,0.222
HU02,gemini,clases,rouge1,0.290,0.692,0.409
HU02,gemini,clases,rouge2,0.067,0.167,0.095
HU02,gemini,clases,rougeL,0.226,0.538,0.318
HU02,claude,clases,rouge1,0.196,0.692,0.305
HU02,claude,clases,rouge2,0.044,0.167,0.070
HU02,claude,clases,rougeL,0.152,0.538,0.237
HU02,gpt,clases,rouge1,0.444,0.615,0.516
HU02,gpt,clases,rouge2,0.118,0.167,0.138
HU02,gpt,clases,rougeL,0.389,0.538,0.452
HU03,llama,clases,rouge1,0.245,0.522,0.333
HU03,llama,clases,rouge2,0.083,0.182,0.114
HU03,llama,clases,rougeL,0.204,0.435,0.278
HU03,deepseek,clases,rouge1,0.220,0.565,0.317
HU03,deepseek,clases,rouge2,0.103,0.273,0.150
HU03,deepseek,clases,rougeL,0.186,0.478,0.268
HU03,gemini,clases,rouge1,0.227,0.652,0.337
HU03,gemini,clases,rouge2,0.138,0.409,0.207
HU03,gemini,clases,rougeL,0.212,0.609,0.315
HU03,claude,clases,rouge1,0.250,0.739,0.374
HU03,claude,clases,rouge2,0.134,0.409,0.202
HU03,claude,clases,rougeL,0.250,0.739,0.374
HU03,gpt,clases,rouge1,0.500,0.522,0.511
HU03,gpt,clases,rouge2,0.174,0.182,0.178
HU03,gpt,clases,rougeL,0.375,0.391,0.383
HU03,mistral,clases,rouge1,0.297,0.478,0.367
HU03,mistral,clases,rouge2,0.111,0.182,0.138
HU03,mistral,clases,rougeL,0.270,0.435,0.333
HU04,llama,clases,rouge1,0.188,0.481,0.271
HU04,llama,clases,rouge2,0.059,0.154,0.085
HU04,llama,clases,rougeL,0.159,0.407,0.229
HU04,deepseek,clases,rouge1,0.176,0.556,0.268
HU04,deepseek,clases,rouge2,0.060,0.192,0.091
HU04,deepseek,clases,rougeL,0.153,0.481,0.232
HU04,gemini,clases,rouge1,0.106,0.741,0.185
HU04,gemini,clases,rouge2,0.037,0.269,0.065
HU04,gemini,clases,rougeL,0.095,0.667,0.167
HU04,claude,clases,rouge1,0.193,0.778,0.309
HU04,claude,clases,rouge2,0.046,0.192,0.075
HU04,claude,clases,rougeL,0.174,0.704,0.279
HU04,gpt,clases,rouge1,0.286,0.444,0.348
HU04,gpt,clases,rouge2,0.073,0.115,0.090
HU04,gpt,clases,rougeL,0.262,0.407,0.319
HU04,mistral,clases,rouge1,0.308,0.296,0.302
HU04,mistral,clases,rouge2,0.120,0.115,0.118
HU04,mistral,clases,rougeL,0.308,0.296,0.302
HU05,llama,clases,rouge1,0.179,0.500,0.264
HU05,llama,clases,rouge2,0.053,0.154,0.078
HU05,llama,clases,rougeL,0.179,0.500,0.264
HU05,deepseek,clases,rouge1,0.135,0.357,0.196
HU05,deepseek,clases,rouge2,0.028,0.077,0.041
HU05,deepseek,clases,rougeL,0.135,0.357,0.196
HU05,gemini,clases,rouge1,0.278,0.714,0.400
HU05,gemini,clases,rouge2,0.086,0.231,0.125
HU05,gemini,clases,rougeL,0.278,0.714,0.400
HU05,claude,clases,rouge1,0.156,0.500,0.237
HU05,claude,clases,rouge2,0.023,0.077,0.035
HU05,claude,clases,rougeL,0.156,0.500,0.237
HU05,gpt,clases,rouge1,0.346,0.643,0.450
HU05,gpt,clases,rouge2,0.080,0.154,0.105
HU05,gpt,clases,rougeL,0.308,0.571,0.400
HU05,mistral,clases,rouge1,0.269,0.500,0.350
HU05,mistral,clases,rouge2,0.080,0.154,0.105
HU05,mistral,clases,rougeL,0.231,0.429,0.300
HU06,llama,clases,rouge1,0.176,0.214,0.194
HU06,llama,clases,rouge2,0.030,0.037,0.033
HU06,llama,clases,rougeL,0.176,0.214,0.194
HU06,deepseek,clases,rouge1,0.092,0.250,0.135
HU06,deepseek,clases,rouge2,0.027,0.074,0.039
HU06,deepseek,clases,rougeL,0.092,0.250,0.135
HU06,gemini,clases,rouge1,0.118,0.321,0.173
HU06,gemini,clases,rouge2,0.040,0.111,0.059
HU06,gemini,clases,rougeL,0.105,0.286,0.154
HU06,claude,clases,rouge1,0.119,0.286,0.168
HU06,claude,clases,rouge2,0.015,0.037,0.022
HU06,claude,clases,rougeL,0.104,0.250,0.147
HU06,gpt,clases,rouge1,0.360,0.321,0.340
HU06,gpt,clases,rouge2,0.083,0.074,0.078
HU06,gpt,clases,rougeL,0.320,0.286,0.302
HU06,mistral,clases,rouge1,0.280,0.250,0.264
HU06,mistral,clases,rouge2,0.083,0.074,0.078
HU06,mistral,clases,rougeL,0.240,0.214,0.226
HU07,llama,clases,rouge1,0.167,0.500,0.250
HU07,llama,clases,rouge2,0.057,0.176,0.086
HU07,llama,clases,rougeL,0.167,0.500,0.250
HU07,deepseek,clases,rouge1,0.233,0.389,0.292
HU07,deepseek,clases,rouge2,0.103,0.176,0.130
HU07,deepseek,clases,rougeL,0.200,0.333,0.250
HU07,gemini,clases,rouge1,0.476,0.556,0.513
HU07,gemini,clases,rouge2,0.200,0.235,0.216
HU07,gemini,clases,rougeL,0.381,0.444,0.410
HU07,claude,clases,rouge1,0.385,0.556,0.455
HU07,claude,clases,rouge2,0.200,0.294,0.238
HU07,claude,clases,rougeL,0.346,0.500,0.409
HU07,gpt,clases,rouge1,0.423,0.611,0.500
HU07,gpt,clases,rouge2,0.200,0.294,0.238
HU07,gpt,clases,rougeL,0.423,0.611,0.500
HU07,mistral,clases,rouge1,0.296,0.444,0.356
HU07,mistral,clases,rouge2,0.154,0.235,0.186
HU07,mistral,clases,rougeL,0.259,0.389,0.311
