Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,llama,clases,rouge1,0.162,0.545,0.250
HU01,llama,clases,rouge2,0.056,0.200,0.087
HU01,llama,clases,rougeL,0.162,0.545,0.250
HU01,deepseek,clases,rouge1,0.167,0.364,0.229
HU01,deepseek,clases,rouge2,0.087,0.200,0.121
HU01,deepseek,clases,rougeL,0.167,0.364,0.229
HU01,gemini,clases,rouge1,0.219,0.636,0.326
HU01,gemini,clases,rouge2,0.065,0.200,0.098
HU01,gemini,clases,rougeL,0.219,0.636,0.326
HU01,claude,clases,rouge1,0.211,0.727,0.327
HU01,claude,clases,rouge2,0.054,0.200,0.085
HU01,claude,clases,rougeL,0.184,0.636,0.286
HU01,gpt,clases,rouge1,0.364,0.727,0.485
HU01,gpt,clases,rouge2,0.143,0.300,0.194
HU01,gpt,clases,rougeL,0.318,0.636,0.424
HU01,mistral,clases,rouge1,0.175,0.636,0.275
HU01,mistral,clases,rouge2,0.051,0.200,0.082
HU01,mistral,clases,rougeL,0.175,0.636,0.275
HU02,llama,clases,rouge1,0.195,0.615,0.296
HU02,llama,clases,rouge2,0.050,0.167,0.077
HU02,llama,clases,rougeL,0.146,0.462,0.222
HU02,deepseek,clases,rouge1,0.241,0.538,0.333
HU02,deepseek,clases,rouge2,0.071,0.167,0.100
HU02,deepseek,clases,rougeL,0.207,0.462,0.286
HU02,gemini,clases,rouge1,0.281,0.692,0.400
HU02,gemini,clases,rouge2,0.065,0.167,0.093
HU02,gemini,clases,rougeL,0.219,0.538,0.311
HU02,claude,clases,rouge1,0.229,0.615,0.333
HU02,claude,clases,rouge2,0.059,0.167,0.087
HU02,claude,clases,rougeL,0.200,0.538,0.292
HU02,gpt,clases,rouge1,0.471,0.615,0.533
HU02,gpt,clases,rouge2,0.125,0.167,0.143
HU02,gpt,clases,rougeL,0.412,0.538,0.467
HU02,mistral,clases,rouge1,0.353,0.462,0.400
HU02,mistral,clases,rouge2,0.125,0.167,0.143
HU02,mistral,clases,rougeL,0.353,0.462,0.400
HU03,llama,clases,rouge1,0.315,0.739,0.442
HU03,llama,clases,rouge2,0.151,0.364,0.213
HU03,llama,clases,rougeL,0.241,0.565,0.338
HU03,deepseek,clases,rouge1,0.222,0.522,0.312
HU03,deepseek,clases,rouge2,0.094,0.227,0.133
HU03,deepseek,clases,rougeL,0.204,0.478,0.286
HU03,gemini,clases,rouge1,0.239,0.739,0.362
HU03,gemini,clases,rouge2,0.129,0.409,0.196
HU03,gemini,clases,rougeL,0.225,0.696,0.340
HU03,claude,clases,rouge1,0.212,0.739,0.330
HU03,claude,clases,rouge2,0.114,0.409,0.178
HU03,claude,clases,rougeL,0.212,0.739,0.330
HU03,gpt,clases,rouge1,0.273,0.261,0.267
HU03,gpt,clases,rouge2,0.048,0.045,0.047
HU03,gpt,clases,rougeL,0.273,0.261,0.267
HU03,mistral,clases,rouge1,0.273,0.522,0.358
HU03,mistral,clases,rouge2,0.023,0.045,0.031
HU03,mistral,clases,rougeL,0.182,0.348,0.239
HU04,llama,clases,rouge1,0.222,0.296,0.254
HU04,llama,clases,rouge2,0.057,0.077,0.066
HU04,llama,clases,rougeL,0.194,0.259,0.222
HU04,deepseek,clases,rouge1,0.231,0.222,0.226
HU04,deepseek,clases,rouge2,0.040,0.038,0.039
HU04,deepseek,clases,rougeL,0.231,0.222,0.226
HU04,gemini,clases,rouge1,0.259,0.778,0.389
HU04,gemini,clases,rouge2,0.125,0.385,0.189
HU04,gemini,clases,rougeL,0.259,0.778,0.389
HU04,claude,clases,rouge1,0.200,0.741,0.315
HU04,claude,clases,rouge2,0.051,0.192,0.080
HU04,claude,clases,rougeL,0.190,0.704,0.299
HU04,gpt,clases,rouge1,0.226,0.444,0.300
HU04,gpt,clases,rouge2,0.096,0.192,0.128
HU04,gpt,clases,rougeL,0.208,0.407,0.275
HU04,mistral,clases,rouge1,0.250,0.407,0.310
HU04,mistral,clases,rouge2,0.070,0.115,0.087
HU04,mistral,clases,rougeL,0.250,0.407,0.310
HU05,llama,clases,rouge1,0.216,0.571,0.314
HU05,llama,clases,rouge2,0.111,0.308,0.163
HU05,llama,clases,rougeL,0.216,0.571,0.314
HU05,deepseek,clases,rouge1,0.067,0.357,0.112
HU05,deepseek,clases,rouge2,0.014,0.077,0.023
HU05,deepseek,clases,rougeL,0.067,0.357,0.112
HU05,gemini,clases,rouge1,0.222,0.571,0.320
HU05,gemini,clases,rouge2,0.114,0.308,0.167
HU05,gemini,clases,rougeL,0.222,0.571,0.320
HU05,claude,clases,rouge1,0.135,0.500,0.212
HU05,claude,clases,rouge2,0.020,0.077,0.031
HU05,claude,clases,rougeL,0.135,0.500,0.212
HU05,gpt,clases,rouge1,0.300,0.643,0.409
HU05,gpt,clases,rouge2,0.069,0.154,0.095
HU05,gpt,clases,rougeL,0.267,0.571,0.364
HU06,llama,clases,rouge1,0.150,0.214,0.176
HU06,llama,clases,rouge2,0.026,0.037,0.030
HU06,llama,clases,rougeL,0.150,0.214,0.176
HU06,deepseek,clases,rouge1,0.078,0.250,0.119
HU06,deepseek,clases,rouge2,0.011,0.037,0.017
HU06,deepseek,clases,rougeL,0.078,0.250,0.119
HU06,gemini,clases,rouge1,0.106,0.250,0.149
HU06,gemini,clases,rouge2,0.015,0.037,0.022
HU06,gemini,clases,rougeL,0.106,0.250,0.149
HU06,claude,clases,rouge1,0.125,0.321,0.180
HU06,claude,clases,rouge2,0.014,0.037,0.020
HU06,claude,clases,rougeL,0.111,0.286,0.160
HU06,gpt,clases,rouge1,0.237,0.321,0.273
HU06,gpt,clases,rouge2,0.054,0.074,0.062
HU06,gpt,clases,rougeL,0.237,0.321,0.273
HU06,mistral,clases,rouge1,0.235,0.286,0.258
HU06,mistral,clases,rouge2,0.061,0.074,0.067
HU06,mistral,clases,rougeL,0.206,0.250,0.226
HU07,llama,clases,rouge1,0.186,0.444,0.262
HU07,llama,clases,rouge2,0.048,0.118,0.068
HU07,llama,clases,rougeL,0.186,0.444,0.262
HU07,deepseek,clases,rouge1,0.214,0.667,0.324
HU07,deepseek,clases,rouge2,0.073,0.235,0.111
HU07,deepseek,clases,rougeL,0.179,0.556,0.270
HU07,gemini,clases,rouge1,0.208,0.611,0.310
HU07,gemini,clases,rouge2,0.096,0.294,0.145
HU07,gemini,clases,rougeL,0.189,0.556,0.282
HU07,claude,clases,rouge1,0.462,0.667,0.545
HU07,claude,clases,rouge2,0.240,0.353,0.286
HU07,claude,clases,rougeL,0.423,0.611,0.500
HU07,gpt,clases,rouge1,0.406,0.722,0.520
HU07,gpt,clases,rouge2,0.194,0.353,0.250
HU07,gpt,clases,rougeL,0.406,0.722,0.520
HU08,llama,clases,rouge1,0.217,0.286,0.247
HU08,llama,clases,rouge2,0.044,0.059,0.051
HU08,llama,clases,rougeL,0.196,0.257,0.222
HU08,deepseek,clases,rouge1,0.158,0.457,0.235
HU08,deepseek,clases,rouge2,0.060,0.176,0.090
HU08,deepseek,clases,rougeL,0.139,0.400,0.206
HU08,gemini,clases,rouge1,0.406,0.743,0.525
HU08,gemini,clases,rouge2,0.222,0.412,0.289
HU08,gemini,clases,rougeL,0.344,0.629,0.444
HU08,claude,clases,rouge1,0.467,0.800,0.589
HU08,claude,clases,rouge2,0.254,0.441,0.323
HU08,claude,clases,rougeL,0.417,0.714,0.526
HU08,gpt,clases,rouge1,0.611,0.629,0.620
HU08,gpt,clases,rouge2,0.371,0.382,0.377
HU08,gpt,clases,rougeL,0.556,0.571,0.563
HU08,mistral,clases,rouge1,0.349,0.429,0.385
HU08,mistral,clases,rouge2,0.071,0.088,0.079
HU08,mistral,clases,rougeL,0.302,0.371,0.333
HU09,llama,clases,rouge1,0.457,0.553,0.500
HU09,llama,clases,rouge2,0.267,0.324,0.293
HU09,llama,clases,rougeL,0.413,0.500,0.452
HU09,deepseek,clases,rouge1,0.450,0.711,0.551
HU09,deepseek,clases,rouge2,0.237,0.378,0.292
HU09,deepseek,clases,rougeL,0.333,0.526,0.408
HU09,gemini,clases,rouge1,0.279,0.632,0.387
HU09,gemini,clases,rouge2,0.082,0.189,0.115
HU09,gemini,clases,rougeL,0.209,0.474,0.290
HU09,claude,clases,rouge1,0.420,0.553,0.477
HU09,claude,clases,rouge2,0.245,0.324,0.279
HU09,claude,clases,rougeL,0.300,0.395,0.341
HU09,gpt,clases,rouge1,0.346,0.711,0.466
HU09,gpt,clases,rouge2,0.182,0.378,0.246
HU09,gpt,clases,rougeL,0.295,0.605,0.397
HU10,llama,clases,rouge1,0.286,0.410,0.337
HU10,llama,clases,rouge2,0.036,0.053,0.043
HU10,llama,clases,rougeL,0.214,0.308,0.253
HU10,deepseek,clases,rouge1,0.075,0.179,0.106
HU10,deepseek,clases,rouge2,0.022,0.053,0.031
HU10,deepseek,clases,rougeL,0.075,0.179,0.106
HU10,gemini,clases,rouge1,0.238,0.513,0.325
HU10,gemini,clases,rouge2,0.060,0.132,0.083
HU10,gemini,clases,rougeL,0.202,0.436,0.276
HU10,claude,clases,rouge1,0.235,0.513,0.323
HU10,claude,clases,rouge2,0.048,0.105,0.066
HU10,claude,clases,rougeL,0.212,0.462,0.290
HU10,gpt,clases,rouge1,0.323,0.256,0.286
HU10,gpt,clases,rouge2,0.100,0.079,0.088
