Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,llama,clases,rouge1,0.152,0.636,0.246
HU01,llama,clases,rouge2,0.022,0.100,0.036
HU01,llama,clases,rougeL,0.152,0.636,0.246
HU01,deepseek,clases,rouge1,0.090,0.636,0.157
HU01,deepseek,clases,rouge2,0.026,0.200,0.046
HU01,deepseek,clases,rougeL,0.090,0.636,0.157
HU01,gemini,clases,rouge1,0.261,0.545,0.353
HU01,gemini,clases,rouge2,0.045,0.100,0.063
HU01,gemini,clases,rougeL,0.217,0.455,0.294
HU01,claude,clases,rouge1,0.231,0.818,0.360
HU01,claude,clases,rouge2,0.053,0.200,0.083
HU01,claude,clases,rougeL,0.231,0.818,0.360
HU01,gpt,clases,rouge1,0.321,0.818,0.462
HU01,gpt,clases,rouge2,0.074,0.200,0.108
HU01,gpt,clases,rougeL,0.286,0.727,0.410
HU01,mistral,clases,rouge1,0.267,0.727,0.390
HU01,mistral,clases,rouge2,0.103,0.300,0.154
HU01,mistral,clases,rougeL,0.267,0.727,0.390
HU02,llama,clases,rouge1,0.296,0.615,0.400
HU02,llama,clases,rouge2,0.115,0.250,0.158
HU02,llama,clases,rougeL,0.259,0.538,0.350
HU02,deepseek,clases,rouge1,0.086,0.538,0.149
HU02,deepseek,clases,rouge2,0.025,0.167,0.043
HU02,deepseek,clases,rougeL,0.086,0.538,0.149
HU02,gemini,clases,rouge1,0.281,0.692,0.400
HU02,gemini,clases,rouge2,0.065,0.167,0.093
HU02,gemini,clases,rougeL,0.219,0.538,0.311
HU02,claude,clases,rouge1,0.205,0.615,0.308
HU02,claude,clases,rouge2,0.053,0.167,0.080
HU02,claude,clases,rougeL,0.179,0.538,0.269
HU02,gpt,clases,rouge1,0.364,0.615,0.457
HU02,gpt,clases,rouge2,0.095,0.167,0.121
HU02,gpt,clases,rougeL,0.318,0.538,0.400
HU02,mistral,clases,rouge1,0.304,0.538,0.389
HU02,mistral,clases,rouge2,0.091,0.167,0.118
HU02,mistral,clases,rougeL,0.261,0.462,0.333
HU03,llama,clases,rouge1,0.351,0.565,0.433
HU03,llama,clases,rouge2,0.167,0.273,0.207
HU03,llama,clases,rougeL,0.324,0.522,0.400
HU03,gemini,clases,rouge1,0.205,0.739,0.321
HU03,gemini,clases,rouge2,0.098,0.364,0.154
HU03,gemini,clases,rougeL,0.205,0.739,0.321
HU03,claude,clases,rouge1,0.254,0.739,0.378
HU03,claude,clases,rouge2,0.136,0.409,0.205
HU03,claude,clases,rougeL,0.254,0.739,0.378
HU03,gpt,clases,rouge1,0.516,0.696,0.593
HU03,gpt,clases,rouge2,0.233,0.318,0.269
HU03,gpt,clases,rougeL,0.516,0.696,0.593
HU04,llama,clases,rouge1,0.169,0.407,0.239
HU04,llama,clases,rouge2,0.031,0.077,0.044
HU04,llama,clases,rougeL,0.154,0.370,0.217
HU04,deepseek,clases,rouge1,0.101,0.259,0.146
HU04,deepseek,clases,rouge2,0.029,0.077,0.043
HU04,deepseek,clases,rougeL,0.087,0.222,0.125
HU04,gemini,clases,rouge1,0.189,0.741,0.301
HU04,gemini,clases,rouge2,0.057,0.231,0.092
HU04,gemini,clases,rougeL,0.189,0.741,0.301
HU04,claude,clases,rouge1,0.204,0.741,0.320
HU04,claude,clases,rouge2,0.052,0.192,0.081
HU04,claude,clases,rougeL,0.194,0.704,0.304
HU04,gpt,clases,rouge1,0.317,0.481,0.382
HU04,gpt,clases,rouge2,0.125,0.192,0.152
HU04,gpt,clases,rougeL,0.293,0.444,0.353
HU05,llama,clases,rouge1,0.111,0.286,0.160
HU05,llama,clases,rouge2,0.029,0.077,0.042
HU05,llama,clases,rougeL,0.111,0.286,0.160
HU05,deepseek,clases,rouge1,0.115,0.643,0.196
HU05,deepseek,clases,rouge2,0.026,0.154,0.044
HU05,deepseek,clases,rougeL,0.115,0.643,0.196
HU05,gemini,clases,rouge1,0.196,0.643,0.300
HU05,gemini,clases,rouge2,0.044,0.154,0.069
HU05,gemini,clases,rougeL,0.196,0.643,0.300
HU05,claude,clases,rouge1,0.184,0.500,0.269
HU05,claude,clases,rouge2,0.027,0.077,0.040
HU05,claude,clases,rougeL,0.184,0.500,0.269
HU05,gpt,clases,rouge1,0.286,0.429,0.343
HU05,gpt,clases,rouge2,0.050,0.077,0.061
HU05,gpt,clases,rougeL,0.238,0.357,0.286
HU05,mistral,clases,rouge1,0.438,0.500,0.467
HU05,mistral,clases,rouge2,0.133,0.154,0.143
HU05,mistral,clases,rougeL,0.375,0.429,0.400
HU06,llama,clases,rouge1,0.286,0.357,0.317
HU06,llama,clases,rouge2,0.088,0.111,0.098
HU06,llama,clases,rougeL,0.229,0.286,0.254
HU06,deepseek,clases,rouge1,0.184,0.250,0.212
HU06,deepseek,clases,rouge2,0.027,0.037,0.031
HU06,deepseek,clases,rougeL,0.184,0.250,0.212
