Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,deepseek,clases,rouge1,0.154,0.545,0.240
HU01,deepseek,clases,rouge2,0.053,0.200,0.083
HU01,deepseek,clases,rougeL,0.154,0.545,0.240
HU01,gemini,clases,rouge1,0.130,0.636,0.215
HU01,gemini,clases,rouge2,0.038,0.200,0.063
HU01,gemini,clases,rougeL,0.130,0.636,0.215
HU01,claude,clases,rouge1,0.158,0.818,0.265
HU01,claude,clases,rouge2,0.036,0.200,0.061
HU01,claude,clases,rougeL,0.158,0.818,0.265
HU01,gpt,clases,rouge1,0.250,0.727,0.372
HU01,gpt,clases,rouge2,0.065,0.200,0.098
HU01,gpt,clases,rougeL,0.219,0.636,0.326
HU01,mistral,clases,rouge1,0.143,0.545,0.226
HU01,mistral,clases,rouge2,0.049,0.200,0.078
HU01,mistral,clases,rougeL,0.143,0.545,0.226
HU02,llama,clases,rouge1,0.186,0.615,0.286
HU02,llama,clases,rouge2,0.048,0.167,0.074
HU02,llama,clases,rougeL,0.140,0.462,0.214
HU02,deepseek,clases,rouge1,0.261,0.462,0.333
HU02,deepseek,clases,rouge2,0.091,0.167,0.118
HU02,deepseek,clases,rougeL,0.261,0.462,0.333
HU02,gemini,clases,rouge1,0.333,0.692,0.450
HU02,gemini,clases,rouge2,0.077,0.167,0.105
HU02,gemini,clases,rougeL,0.259,0.538,0.350
HU02,claude,clases,rouge1,0.229,0.615,0.333
HU02,claude,clases,rouge2,0.059,0.167,0.087
HU02,claude,clases,rougeL,0.200,0.538,0.292
HU02,gpt,clases,rouge1,0.300,0.692,0.419
HU02,gpt,clases,rouge2,0.069,0.167,0.098
HU02,gpt,clases,rougeL,0.233,0.538,0.326
HU02,mistral,clases,rouge1,0.286,0.615,0.390
HU02,mistral,clases,rouge2,0.111,0.250,0.154
HU02,mistral,clases,rougeL,0.214,0.462,0.293
HU03,deepseek,clases,rouge1,0.100,0.565,0.170
HU03,deepseek,clases,rouge2,0.062,0.364,0.106
HU03,deepseek,clases,rougeL,0.100,0.565,0.170
HU03,gemini,clases,rouge1,0.250,0.739,0.374
HU03,gemini,clases,rouge2,0.134,0.409,0.202
HU03,gemini,clases,rougeL,0.235,0.696,0.352
HU03,claude,clases,rouge1,0.210,0.739,0.327
HU03,claude,clases,rouge2,0.113,0.409,0.176
HU03,claude,clases,rougeL,0.210,0.739,0.327
HU03,gpt,clases,rouge1,0.400,0.696,0.508
HU03,gpt,clases,rouge2,0.154,0.273,0.197
HU03,gpt,clases,rougeL,0.400,0.696,0.508
HU03,mistral,clases,rouge1,0.238,0.652,0.349
HU03,mistral,clases,rouge2,0.113,0.318,0.167
HU03,mistral,clases,rougeL,0.206,0.565,0.302
HU04,llama,clases,rouge1,0.255,0.481,0.333
HU04,llama,clases,rouge2,0.040,0.077,0.053
HU04,llama,clases,rougeL,0.235,0.444,0.308
HU04,gemini,clases,rouge1,0.117,0.741,0.202
HU04,gemini,clases,rouge2,0.041,0.269,0.071
HU04,gemini,clases,rougeL,0.099,0.630,0.172
HU04,claude,clases,rouge1,0.177,0.741,0.286
HU04,claude,clases,rouge2,0.054,0.231,0.087
HU04,claude,clases,rougeL,0.177,0.741,0.286
HU04,gpt,clases,rouge1,0.276,0.593,0.376
HU04,gpt,clases,rouge2,0.070,0.154,0.096
HU04,gpt,clases,rougeL,0.259,0.556,0.353
HU04,mistral,clases,rouge1,0.414,0.444,0.429
HU04,mistral,clases,rouge2,0.179,0.192,0.185
HU04,mistral,clases,rougeL,0.310,0.333,0.321
HU05,llama,clases,rouge1,0.219,0.500,0.304
HU05,llama,clases,rouge2,0.065,0.154,0.091
HU05,llama,clases,rougeL,0.188,0.429,0.261
HU05,deepseek,clases,rouge1,0.114,0.357,0.172
HU05,deepseek,clases,rouge2,0.023,0.077,0.036
HU05,deepseek,clases,rougeL,0.114,0.357,0.172
HU05,gemini,clases,rouge1,0.085,0.500,0.146
HU05,gemini,clases,rouge2,0.012,0.077,0.021
HU05,gemini,clases,rougeL,0.085,0.500,0.146
HU05,claude,clases,rouge1,0.222,0.571,0.320
HU05,claude,clases,rouge2,0.029,0.077,0.042
HU05,claude,clases,rougeL,0.194,0.500,0.280
HU05,gpt,clases,rouge1,0.273,0.429,0.333
HU05,gpt,clases,rouge2,0.048,0.077,0.059
HU05,gpt,clases,rougeL,0.227,0.357,0.278
HU05,mistral,clases,rouge1,0.208,0.357,0.263
HU05,mistral,clases,rouge2,0.043,0.077,0.056
HU05,mistral,clases,rougeL,0.208,0.357,0.263
HU06,deepseek,clases,rouge1,0.086,0.107,0.095
HU06,deepseek,clases,rouge2,0.029,0.037,0.033
HU06,deepseek,clases,rougeL,0.086,0.107,0.095
HU06,gemini,clases,rouge1,0.160,0.286,0.205
HU06,gemini,clases,rouge2,0.020,0.037,0.026
HU06,gemini,clases,rougeL,0.160,0.286,0.205
HU06,claude,clases,rouge1,0.122,0.321,0.176
HU06,claude,clases,rouge2,0.014,0.037,0.020
HU06,claude,clases,rougeL,0.108,0.286,0.157
HU06,gpt,clases,rouge1,0.256,0.357,0.299
HU06,gpt,clases,rouge2,0.053,0.074,0.062
HU06,gpt,clases,rougeL,0.231,0.321,0.269
HU06,mistral,clases,rouge1,0.240,0.214,0.226
HU06,mistral,clases,rouge2,0.083,0.074,0.078
HU06,mistral,clases,rougeL,0.240,0.214,0.226
HU07,deepseek,clases,rouge1,0.367,0.611,0.458
HU07,deepseek,clases,rouge2,0.138,0.235,0.174
HU07,deepseek,clases,rougeL,0.300,0.500,0.375
HU07,gemini,clases,rouge1,0.500,0.667,0.571
HU07,gemini,clases,rouge2,0.217,0.294,0.250
HU07,gemini,clases,rougeL,0.458,0.611,0.524
HU07,claude,clases,rouge1,0.306,0.611,0.407
HU07,claude,clases,rouge2,0.143,0.294,0.192
HU07,claude,clases,rougeL,0.306,0.611,0.407
HU07,gpt,clases,rouge1,0.500,0.611,0.550
HU07,gpt,clases,rouge2,0.238,0.294,0.263
HU07,gpt,clases,rougeL,0.500,0.611,0.550
HU08,deepseek,clases,rouge1,0.210,0.486,0.293
HU08,deepseek,clases,rouge2,0.075,0.176,0.105
HU08,deepseek,clases,rougeL,0.185,0.429,0.259
HU08,gemini,clases,rouge1,0.375,0.514,0.434
HU08,gemini,clases,rouge2,0.106,0.147,0.123
HU08,gemini,clases,rougeL,0.312,0.429,0.361
HU08,claude,clases,rouge1,0.389,0.600,0.472
HU08,claude,clases,rouge2,0.151,0.235,0.184
HU08,claude,clases,rougeL,0.333,0.514,0.404
HU08,gpt,clases,rouge1,0.575,0.657,0.613
HU08,gpt,clases,rouge2,0.282,0.324,0.301
HU08,gpt,clases,rougeL,0.525,0.600,0.560
HU09,deepseek,clases,rouge1,0.333,0.395,0.361
HU09,deepseek,clases,rouge2,0.159,0.189,0.173
HU09,deepseek,clases,rougeL,0.289,0.342,0.313
HU09,gemini,clases,rouge1,0.319,0.789,0.455
HU09,gemini,clases,rouge2,0.151,0.378,0.215
HU09,gemini,clases,rougeL,0.245,0.605,0.348
HU09,claude,clases,rouge1,0.260,0.342,0.295
HU09,claude,clases,rouge2,0.102,0.135,0.116
HU09,claude,clases,rougeL,0.220,0.289,0.250
HU09,gpt,clases,rouge1,0.567,0.447,0.500
HU09,gpt,clases,rouge2,0.310,0.243,0.273
HU09,gpt,clases,rougeL,0.467,0.368,0.412
HU09,mistral,clases,rouge1,0.786,0.579,0.667
HU09,mistral,clases,rouge2,0.481,0.351,0.406
HU09,mistral,clases,rougeL,0.679,0.500,0.576
HU10,deepseek,clases,rouge1,0.156,0.256,0.194
HU10,deepseek,clases,rouge2,0.048,0.079,0.059
HU10,deepseek,clases,rougeL,0.141,0.231,0.175
HU10,gemini,clases,rouge1,0.194,0.359,0.252
HU10,gemini,clases,rouge2,0.056,0.105,0.073
HU10,gemini,clases,rougeL,0.181,0.333,0.234
HU10,claude,clases,rouge1,0.259,0.538,0.350
HU10,claude,clases,rouge2,0.050,0.105,0.068
HU10,claude,clases,rougeL,0.222,0.462,0.300
HU10,gpt,clases,rouge1,0.208,0.128,0.159
HU10,gpt,clases,rouge2,0.043,0.026,0.033
HU10,gpt,clases,rougeL,0.208,0.128,0.159
HU10,mistral,clases,rouge1,0.256,0.256,0.256
HU10,mistral,clases,rouge2,0.105,0.105,0.105
HU10,mistral,clases,rougeL,0.256,0.256,0.256
