Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,llama,clases,rouge1,0.125,0.364,0.186
HU01,llama,clases,rouge2,0.032,0.100,0.049
HU01,llama,clases,rougeL,0.125,0.364,0.186
HU01,deepseek,clases,rouge1,0.300,0.545,0.387
HU01,deepseek,clases,rouge2,0.105,0.200,0.138
HU01,deepseek,clases,rougeL,0.250,0.455,0.323
HU01,gemini,clases,rouge1,0.132,0.455,0.204
HU01,gemini,clases,rouge2,0.027,0.100,0.043
HU01,gemini,clases,rougeL,0.132,0.455,0.204
HU01,claude,clases,rouge1,0.211,0.727,0.327
HU01,claude,clases,rouge2,0.054,0.200,0.085
HU01,claude,clases,rougeL,0.184,0.636,0.286
HU01,gpt,clases,rouge1,0.308,0.727,0.432
HU01,gpt,clases,rouge2,0.080,0.200,0.114
HU01,gpt,clases,rougeL,0.308,0.727,0.432
HU01,mistral,clases,rouge1,0.350,0.636,0.452
HU01,mistral,clases,rouge2,0.158,0.300,0.207
HU01,mistral,clases,rougeL,0.300,0.545,0.387
HU02,llama,clases,rouge1,0.167,0.462,0.245
HU02,llama,clases,rouge2,0.057,0.167,0.085
HU02,llama,clases,rougeL,0.167,0.462,0.245
HU02,gemini,clases,rouge1,0.300,0.692,0.419
HU02,gemini,clases,rouge2,0.069,0.167,0.098
HU02,gemini,clases,rougeL,0.233,0.538,0.326
HU02,claude,clases,rouge1,0.229,0.615,0.333
HU02,claude,clases,rouge2,0.059,0.167,0.087
HU02,claude,clases,rougeL,0.200,0.538,0.292
HU02,gpt,clases,rouge1,0.250,0.692,0.367
HU02,gpt,clases,rouge2,0.057,0.167,0.085
HU02,gpt,clases,rougeL,0.194,0.538,0.286
HU02,mistral,clases,rouge1,0.400,0.462,0.429
HU02,mistral,clases,rouge2,0.143,0.167,0.154
HU02,mistral,clases,rougeL,0.400,0.462,0.429
HU03,llama,clases,rouge1,0.273,0.652,0.385
HU03,llama,clases,rouge2,0.130,0.318,0.184
HU03,llama,clases,rougeL,0.218,0.522,0.308
HU03,deepseek,clases,rouge1,0.078,0.565,0.138
HU03,deepseek,clases,rouge2,0.036,0.273,0.064
HU03,deepseek,clases,rougeL,0.066,0.478,0.116
HU03,gemini,clases,rouge1,0.259,0.652,0.370
HU03,gemini,clases,rouge2,0.123,0.318,0.177
HU03,gemini,clases,rougeL,0.207,0.522,0.296
HU03,claude,clases,rouge1,0.246,0.739,0.370
HU03,claude,clases,rouge2,0.132,0.409,0.200
HU03,claude,clases,rougeL,0.246,0.739,0.370
HU03,gpt,clases,rouge1,0.467,0.609,0.528
HU03,gpt,clases,rouge2,0.276,0.364,0.314
HU03,gpt,clases,rougeL,0.433,0.565,0.491
HU03,mistral,clases,rouge1,0.364,0.522,0.429
HU03,mistral,clases,rouge2,0.125,0.182,0.148
