Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,deepseek,clases,rouge1,0.086,0.545,0.148
HU01,deepseek,clases,rouge2,0.029,0.200,0.051
HU01,deepseek,clases,rougeL,0.086,0.545,0.148
HU01,gemini,clases,rouge1,0.160,0.727,0.262
HU01,gemini,clases,rouge2,0.041,0.200,0.068
HU01,gemini,clases,rougeL,0.140,0.636,0.230
HU01,claude,clases,rouge1,0.148,0.818,0.250
HU01,claude,clases,rouge2,0.033,0.200,0.057
HU01,claude,clases,rougeL,0.148,0.818,0.250
HU01,gpt,clases,rouge1,0.286,0.727,0.410
HU01,gpt,clases,rouge2,0.074,0.200,0.108
HU01,gpt,clases,rougeL,0.286,0.727,0.410
HU01,mistral,clases,rouge1,0.211,0.727,0.327
HU01,mistral,clases,rouge2,0.081,0.300,0.128
HU01,mistral,clases,rougeL,0.184,0.636,0.286
HU02,llama,clases,rouge1,0.310,0.692,0.429
HU02,llama,clases,rouge2,0.071,0.167,0.100
HU02,llama,clases,rougeL,0.241,0.538,0.333
HU02,deepseek,clases,rouge1,0.269,0.538,0.359
HU02,deepseek,clases,rouge2,0.080,0.167,0.108
HU02,deepseek,clases,rougeL,0.231,0.462,0.308
HU02,gemini,clases,rouge1,0.225,0.692,0.340
HU02,gemini,clases,rouge2,0.051,0.167,0.078
HU02,gemini,clases,rougeL,0.175,0.538,0.264
HU02,claude,clases,rouge1,0.229,0.615,0.333
HU02,claude,clases,rouge2,0.059,0.167,0.087
HU02,claude,clases,rougeL,0.200,0.538,0.292
HU02,gpt,clases,rouge1,0.321,0.692,0.439
HU02,gpt,clases,rouge2,0.074,0.167,0.103
HU02,gpt,clases,rougeL,0.250,0.538,0.341
HU02,mistral,clases,rouge1,0.333,0.538,0.412
HU02,mistral,clases,rouge2,0.100,0.167,0.125
HU02,mistral,clases,rougeL,0.286,0.462,0.353
HU03,llama,clases,rouge1,0.245,0.522,0.333
HU03,llama,clases,rouge2,0.083,0.182,0.114
HU03,llama,clases,rougeL,0.204,0.435,0.278
HU03,deepseek,clases,rouge1,0.294,0.435,0.351
HU03,deepseek,clases,rouge2,0.121,0.182,0.145
HU03,deepseek,clases,rougeL,0.265,0.391,0.316
HU03,gemini,clases,rouge1,0.197,0.609,0.298
HU03,gemini,clases,rouge2,0.129,0.409,0.196
HU03,gemini,clases,rougeL,0.183,0.565,0.277
HU03,claude,clases,rouge1,0.215,0.739,0.333
HU03,claude,clases,rouge2,0.115,0.409,0.180
HU03,claude,clases,rougeL,0.215,0.739,0.333
HU03,gpt,clases,rouge1,0.340,0.696,0.457
HU03,gpt,clases,rouge2,0.152,0.318,0.206
HU03,gpt,clases,rougeL,0.340,0.696,0.457
HU03,mistral,clases,rouge1,0.188,0.522,0.276
HU03,mistral,clases,rouge2,0.079,0.227,0.118
HU03,mistral,clases,rougeL,0.172,0.478,0.253
HU04,llama,clases,rouge1,0.273,0.333,0.300
HU04,llama,clases,rouge2,0.094,0.115,0.103
HU04,llama,clases,rougeL,0.273,0.333,0.300
HU04,deepseek,clases,rouge1,0.292,0.519,0.373
HU04,deepseek,clases,rouge2,0.064,0.115,0.082
HU04,deepseek,clases,rougeL,0.292,0.519,0.373
HU04,gemini,clases,rouge1,0.260,0.741,0.385
HU04,gemini,clases,rouge2,0.132,0.385,0.196
HU04,gemini,clases,rougeL,0.260,0.741,0.385
HU04,claude,clases,rouge1,0.180,0.741,0.290
HU04,claude,clases,rouge2,0.055,0.231,0.088
HU04,claude,clases,rougeL,0.180,0.741,0.290
HU04,mistral,clases,rouge1,0.360,0.333,0.346
HU04,mistral,clases,rouge2,0.167,0.154,0.160
HU04,mistral,clases,rougeL,0.280,0.259,0.269
HU05,llama,clases,rouge1,0.200,0.429,0.273
HU05,llama,clases,rouge2,0.069,0.154,0.095
HU05,llama,clases,rougeL,0.200,0.429,0.273
HU05,deepseek,clases,rouge1,0.171,0.429,0.245
HU05,deepseek,clases,rouge2,0.059,0.154,0.085
HU05,deepseek,clases,rougeL,0.143,0.357,0.204
HU05,gemini,clases,rouge1,0.190,0.786,0.306
HU05,gemini,clases,rouge2,0.053,0.231,0.086
HU05,gemini,clases,rougeL,0.155,0.643,0.250
HU05,claude,clases,rouge1,0.211,0.571,0.308
HU05,claude,clases,rouge2,0.027,0.077,0.040
HU05,claude,clases,rougeL,0.184,0.500,0.269
HU05,gpt,clases,rouge1,0.438,0.500,0.467
HU05,gpt,clases,rouge2,0.067,0.077,0.071
HU05,gpt,clases,rougeL,0.438,0.500,0.467
HU05,mistral,clases,rouge1,0.182,0.286,0.222
HU05,mistral,clases,rouge2,0.048,0.077,0.059
HU05,mistral,clases,rougeL,0.182,0.286,0.222
HU06,deepseek,clases,rouge1,0.073,0.107,0.087
HU06,deepseek,clases,rouge2,0.025,0.037,0.030
HU06,deepseek,clases,rougeL,0.073,0.107,0.087
HU06,gemini,clases,rouge1,0.107,0.214,0.143
HU06,gemini,clases,rouge2,0.018,0.037,0.024
HU06,gemini,clases,rougeL,0.107,0.214,0.143
HU06,claude,clases,rouge1,0.107,0.321,0.161
HU06,claude,clases,rouge2,0.012,0.037,0.018
HU06,claude,clases,rougeL,0.095,0.286,0.143
HU06,gpt,clases,rouge1,0.179,0.179,0.179
HU06,gpt,clases,rouge2,0.037,0.037,0.037
HU06,gpt,clases,rougeL,0.143,0.143,0.143
HU06,mistral,clases,rouge1,0.190,0.143,0.163
HU06,mistral,clases,rouge2,0.050,0.037,0.043
HU06,mistral,clases,rougeL,0.190,0.143,0.163
HU07,deepseek,clases,rouge1,0.191,0.500,0.277
HU07,deepseek,clases,rouge2,0.087,0.235,0.127
HU07,deepseek,clases,rougeL,0.170,0.444,0.246
HU07,gemini,clases,rouge1,0.323,0.556,0.408
HU07,gemini,clases,rouge2,0.133,0.235,0.170
