Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,deepseek,clases,rouge1,0.333,0.545,0.414
HU01,deepseek,clases,rouge2,0.118,0.200,0.148
HU01,deepseek,clases,rougeL,0.278,0.455,0.345
HU01,gemini,clases,rouge1,0.250,0.545,0.343
HU01,gemini,clases,rouge2,0.087,0.200,0.121
HU01,gemini,clases,rougeL,0.250,0.545,0.343
HU01,claude,clases,rouge1,0.131,0.727,0.222
HU01,claude,clases,rouge2,0.033,0.200,0.057
HU01,claude,clases,rougeL,0.131,0.727,0.222
HU01,gpt,clases,rouge1,0.333,0.727,0.457
HU01,gpt,clases,rouge2,0.087,0.200,0.121
HU01,gpt,clases,rougeL,0.292,0.636,0.400
HU01,mistral,clases,rouge1,0.128,0.455,0.200
HU01,mistral,clases,rouge2,0.026,0.100,0.042
HU01,mistral,clases,rougeL,0.128,0.455,0.200
HU02,deepseek,clases,rouge1,0.269,0.538,0.359
HU02,deepseek,clases,rouge2,0.080,0.167,0.108
HU02,deepseek,clases,rougeL,0.231,0.462,0.308
HU02,gemini,clases,rouge1,0.237,0.692,0.353
HU02,gemini,clases,rouge2,0.054,0.167,0.082
HU02,gemini,clases,rougeL,0.184,0.538,0.275
HU02,claude,clases,rouge1,0.211,0.615,0.314
HU02,claude,clases,rouge2,0.054,0.167,0.082
HU02,claude,clases,rougeL,0.184,0.538,0.275
HU02,gpt,clases,rouge1,0.310,0.692,0.429
HU02,gpt,clases,rouge2,0.071,0.167,0.100
HU02,gpt,clases,rougeL,0.241,0.538,0.333
HU02,mistral,clases,rouge1,0.381,0.615,0.471
HU02,mistral,clases,rouge2,0.100,0.167,0.125
HU02,mistral,clases,rougeL,0.286,0.462,0.353
HU03,llama,clases,rouge1,0.407,0.478,0.440
HU03,llama,clases,rouge2,0.115,0.136,0.125
HU03,llama,clases,rougeL,0.296,0.348,0.320
HU03,deepseek,clases,rouge1,0.550,0.478,0.512
HU03,deepseek,clases,rouge2,0.211,0.182,0.195
HU03,deepseek,clases,rougeL,0.400,0.348,0.372
HU03,gemini,clases,rouge1,0.165,0.609,0.259
HU03,gemini,clases,rouge2,0.107,0.409,0.170
HU03,gemini,clases,rougeL,0.165,0.609,0.259
HU03,claude,clases,rouge1,0.221,0.739,0.340
HU03,claude,clases,rouge2,0.118,0.409,0.184
HU03,claude,clases,rougeL,0.221,0.739,0.340
HU03,gpt,clases,rouge1,0.278,0.652,0.390
HU03,gpt,clases,rouge2,0.094,0.227,0.133
HU03,gpt,clases,rougeL,0.222,0.522,0.312
HU03,mistral,clases,rouge1,0.308,0.696,0.427
HU03,mistral,clases,rouge2,0.157,0.364,0.219
HU03,mistral,clases,rougeL,0.231,0.522,0.320
HU04,deepseek,clases,rouge1,0.076,0.481,0.131
HU04,deepseek,clases,rouge2,0.029,0.192,0.051
HU04,deepseek,clases,rougeL,0.064,0.407,0.111
HU04,gemini,clases,rouge1,0.260,0.741,0.385
HU04,gemini,clases,rouge2,0.118,0.346,0.176
HU04,gemini,clases,rougeL,0.260,0.741,0.385
HU04,claude,clases,rouge1,0.271,0.704,0.392
HU04,claude,clases,rouge2,0.101,0.269,0.147
HU04,claude,clases,rougeL,0.271,0.704,0.392
HU04,gpt,clases,rouge1,0.250,0.667,0.364
HU04,gpt,clases,rouge2,0.070,0.192,0.103
HU04,gpt,clases,rougeL,0.250,0.667,0.364
HU04,mistral,clases,rouge1,0.256,0.407,0.314
HU04,mistral,clases,rouge2,0.071,0.115,0.088
HU04,mistral,clases,rougeL,0.233,0.370,0.286
HU05,deepseek,clases,rouge1,0.072,0.429,0.124
HU05,deepseek,clases,rouge2,0.012,0.077,0.021
HU05,deepseek,clases,rougeL,0.060,0.357,0.103
HU05,gemini,clases,rouge1,0.179,0.714,0.286
HU05,gemini,clases,rouge2,0.073,0.308,0.118
HU05,gemini,clases,rougeL,0.179,0.714,0.286
HU05,claude,clases,rouge1,0.206,0.500,0.292
HU05,claude,clases,rouge2,0.030,0.077,0.043
HU05,claude,clases,rougeL,0.206,0.500,0.292
HU05,gpt,clases,rouge1,0.273,0.429,0.333
HU05,gpt,clases,rouge2,0.048,0.077,0.059
HU05,gpt,clases,rougeL,0.227,0.357,0.278
HU05,mistral,clases,rouge1,0.389,0.500,0.438
HU05,mistral,clases,rouge2,0.176,0.231,0.200
HU05,mistral,clases,rougeL,0.333,0.429,0.375
HU06,deepseek,clases,rouge1,0.085,0.321,0.134
HU06,deepseek,clases,rouge2,0.010,0.037,0.015
HU06,deepseek,clases,rougeL,0.066,0.250,0.104
HU06,gemini,clases,rouge1,0.148,0.321,0.202
HU06,gemini,clases,rouge2,0.050,0.111,0.069
HU06,gemini,clases,rougeL,0.131,0.286,0.180
HU06,claude,clases,rouge1,0.130,0.321,0.186
HU06,claude,clases,rouge2,0.015,0.037,0.021
HU06,claude,clases,rougeL,0.116,0.286,0.165
HU06,gpt,clases,rouge1,0.205,0.286,0.239
HU06,gpt,clases,rouge2,0.026,0.037,0.031
HU06,gpt,clases,rougeL,0.205,0.286,0.239
HU06,mistral,clases,rouge1,0.208,0.179,0.192
HU06,mistral,clases,rouge2,0.043,0.037,0.040
HU06,mistral,clases,rougeL,0.208,0.179,0.192
HU07,deepseek,clases,rouge1,0.244,0.611,0.349
HU07,deepseek,clases,rouge2,0.114,0.294,0.164
HU07,deepseek,clases,rougeL,0.222,0.556,0.317
HU07,gemini,clases,rouge1,0.500,0.556,0.526
HU07,gemini,clases,rouge2,0.211,0.235,0.222
HU07,gemini,clases,rougeL,0.450,0.500,0.474
HU07,claude,clases,rouge1,0.306,0.611,0.407
HU07,claude,clases,rouge2,0.143,0.294,0.192
HU07,claude,clases,rougeL,0.306,0.611,0.407
HU07,gpt,clases,rouge1,0.316,0.667,0.429
HU07,gpt,clases,rouge2,0.108,0.235,0.148
HU07,gpt,clases,rougeL,0.316,0.667,0.429
HU07,mistral,clases,rouge1,0.276,0.444,0.340
HU07,mistral,clases,rouge2,0.143,0.235,0.178
HU07,mistral,clases,rougeL,0.276,0.444,0.340
HU08,deepseek,clases,rouge1,0.400,0.457,0.427
HU08,deepseek,clases,rouge2,0.154,0.176,0.164
HU08,deepseek,clases,rougeL,0.325,0.371,0.347
HU08,gemini,clases,rouge1,0.581,0.514,0.545
HU08,gemini,clases,rouge2,0.267,0.235,0.250
HU08,gemini,clases,rougeL,0.516,0.457,0.485
HU08,claude,clases,rouge1,0.438,0.600,0.506
HU08,claude,clases,rouge2,0.170,0.235,0.198
HU08,claude,clases,rougeL,0.396,0.543,0.458
HU08,gpt,clases,rouge1,0.607,0.486,0.540
HU08,gpt,clases,rouge2,0.296,0.235,0.262
HU08,gpt,clases,rougeL,0.536,0.429,0.476
HU08,mistral,clases,rouge1,0.429,0.343,0.381
HU08,mistral,clases,rouge2,0.111,0.088,0.098
HU08,mistral,clases,rougeL,0.393,0.314,0.349
HU09,deepseek,clases,rouge1,0.314,0.579,0.407
HU09,deepseek,clases,rouge2,0.116,0.216,0.151
HU09,deepseek,clases,rougeL,0.257,0.474,0.333
HU09,gemini,clases,rouge1,0.382,0.342,0.361
HU09,gemini,clases,rouge2,0.182,0.162,0.171
HU09,gemini,clases,rougeL,0.324,0.289,0.306
HU09,claude,clases,rouge1,0.308,0.421,0.356
HU09,claude,clases,rouge2,0.098,0.135,0.114
HU09,claude,clases,rougeL,0.231,0.316,0.267
HU09,gpt,clases,rouge1,0.400,0.579,0.473
HU09,gpt,clases,rouge2,0.185,0.270,0.220
HU09,gpt,clases,rougeL,0.345,0.500,0.409
HU09,mistral,clases,rouge1,0.750,0.474,0.581
HU09,mistral,clases,rouge2,0.435,0.270,0.333
HU09,mistral,clases,rougeL,0.667,0.421,0.516
HU10,deepseek,clases,rouge1,0.130,0.256,0.172
HU10,deepseek,clases,rouge2,0.026,0.053,0.035
HU10,deepseek,clases,rougeL,0.104,0.205,0.138
HU10,gemini,clases,rouge1,0.237,0.487,0.319
HU10,gemini,clases,rouge2,0.051,0.105,0.068
HU10,gemini,clases,rougeL,0.200,0.410,0.269
HU10,claude,clases,rouge1,0.235,0.513,0.323
HU10,claude,clases,rouge2,0.036,0.079,0.049
HU10,claude,clases,rougeL,0.200,0.436,0.274
HU10,gpt,clases,rouge1,0.308,0.205,0.246
HU10,gpt,clases,rouge2,0.080,0.053,0.063
HU10,gpt,clases,rougeL,0.269,0.179,0.215
HU10,mistral,clases,rouge1,0.500,0.256,0.339
HU10,mistral,clases,rouge2,0.263,0.132,0.175
HU10,mistral,clases,rougeL,0.500,0.256,0.339
