Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,deepseek,clases,rouge1,0.113,0.545,0.188
HU01,deepseek,clases,rouge2,0.038,0.200,0.065
HU01,deepseek,clases,rougeL,0.113,0.545,0.188
HU01,gemini,clases,rouge1,0.118,0.364,0.178
HU01,gemini,clases,rouge2,0.030,0.100,0.047
HU01,gemini,clases,rougeL,0.118,0.364,0.178
HU01,claude,clases,rouge1,0.153,0.818,0.257
HU01,claude,clases,rouge2,0.052,0.300,0.088
HU01,claude,clases,rougeL,0.153,0.818,0.257
HU01,gpt,clases,rouge1,0.375,0.545,0.444
HU01,gpt,clases,rouge2,0.133,0.200,0.160
HU01,gpt,clases,rougeL,0.375,0.545,0.444
HU01,mistral,clases,rouge1,0.171,0.545,0.261
HU01,mistral,clases,rouge2,0.059,0.200,0.091
HU01,mistral,clases,rougeL,0.171,0.545,0.261
HU02,deepseek,clases,rouge1,0.292,0.538,0.378
HU02,deepseek,clases,rouge2,0.087,0.167,0.114
HU02,deepseek,clases,rougeL,0.250,0.462,0.324
HU02,gemini,clases,rouge1,0.300,0.692,0.419
HU02,gemini,clases,rouge2,0.069,0.167,0.098
HU02,gemini,clases,rougeL,0.233,0.538,0.326
HU02,claude,clases,rouge1,0.276,0.615,0.381
HU02,claude,clases,rouge2,0.071,0.167,0.100
HU02,claude,clases,rougeL,0.241,0.538,0.333
HU02,gpt,clases,rouge1,0.500,0.615,0.552
HU02,gpt,clases,rouge2,0.133,0.167,0.148
HU02,gpt,clases,rougeL,0.438,0.538,0.483
HU02,mistral,clases,rouge1,0.348,0.615,0.444
HU02,mistral,clases,rouge2,0.136,0.250,0.176
HU02,mistral,clases,rougeL,0.261,0.462,0.333
HU03,llama,clases,rouge1,0.400,0.261,0.316
HU03,llama,clases,rouge2,0.143,0.091,0.111
HU03,llama,clases,rougeL,0.400,0.261,0.316
HU03,deepseek,clases,rouge1,0.139,0.609,0.226
HU03,deepseek,clases,rouge2,0.040,0.182,0.066
HU03,deepseek,clases,rougeL,0.099,0.435,0.161
HU03,gemini,clases,rouge1,0.181,0.652,0.283
HU03,gemini,clases,rouge2,0.098,0.364,0.154
HU03,gemini,clases,rougeL,0.169,0.609,0.264
HU03,claude,clases,rouge1,0.246,0.696,0.364
HU03,claude,clases,rouge2,0.062,0.182,0.093
HU03,claude,clases,rougeL,0.231,0.652,0.341
HU03,gpt,clases,rouge1,0.457,0.696,0.552
HU03,gpt,clases,rouge2,0.147,0.227,0.179
HU03,gpt,clases,rougeL,0.343,0.522,0.414
HU03,mistral,clases,rouge1,0.317,0.565,0.406
HU03,mistral,clases,rouge2,0.150,0.273,0.194
HU03,mistral,clases,rougeL,0.293,0.522,0.375
HU04,llama,clases,rouge1,0.174,0.296,0.219
HU04,llama,clases,rouge2,0.022,0.038,0.028
HU04,llama,clases,rougeL,0.174,0.296,0.219
HU04,deepseek,clases,rouge1,0.153,0.333,0.209
HU04,deepseek,clases,rouge2,0.000,0.000,0.000
