Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,deepseek,clases,rouge1,0.133,0.364,0.195
HU01,deepseek,clases,rouge2,0.069,0.200,0.103
HU01,deepseek,clases,rougeL,0.133,0.364,0.195
HU01,gemini,clases,rouge1,0.100,0.545,0.169
HU01,gemini,clases,rouge2,0.017,0.100,0.029
HU01,gemini,clases,rougeL,0.083,0.455,0.141
HU01,claude,clases,rouge1,0.150,0.818,0.254
HU01,claude,clases,rouge2,0.034,0.200,0.058
HU01,claude,clases,rougeL,0.150,0.818,0.254
HU01,gpt,clases,rouge1,0.308,0.727,0.432
HU01,gpt,clases,rouge2,0.080,0.200,0.114
HU01,gpt,clases,rougeL,0.308,0.727,0.432
HU01,mistral,clases,rouge1,0.200,0.364,0.258
HU01,mistral,clases,rouge2,0.053,0.100,0.069
HU01,mistral,clases,rougeL,0.200,0.364,0.258
HU02,deepseek,clases,rouge1,0.241,0.538,0.333
HU02,deepseek,clases,rouge2,0.071,0.167,0.100
HU02,deepseek,clases,rougeL,0.207,0.462,0.286
HU02,gemini,clases,rouge1,0.300,0.692,0.419
HU02,gemini,clases,rouge2,0.069,0.167,0.098
HU02,gemini,clases,rougeL,0.233,0.538,0.326
HU02,claude,clases,rouge1,0.229,0.615,0.333
HU02,claude,clases,rouge2,0.059,0.167,0.087
HU02,claude,clases,rougeL,0.200,0.538,0.292
HU02,gpt,clases,rouge1,0.500,0.615,0.552
HU02,gpt,clases,rouge2,0.133,0.167,0.148
HU02,gpt,clases,rougeL,0.438,0.538,0.483
HU02,mistral,clases,rouge1,0.280,0.538,0.368
HU02,mistral,clases,rouge2,0.083,0.167,0.111
HU02,mistral,clases,rougeL,0.240,0.462,0.316
HU03,deepseek,clases,rouge1,0.228,0.565,0.325
HU03,deepseek,clases,rouge2,0.107,0.273,0.154
HU03,deepseek,clases,rougeL,0.175,0.435,0.250
HU03,gemini,clases,rouge1,0.545,0.522,0.533
HU03,gemini,clases,rouge2,0.286,0.273,0.279
HU03,gemini,clases,rougeL,0.409,0.391,0.400
HU03,claude,clases,rouge1,0.221,0.652,0.330
HU03,claude,clases,rouge2,0.060,0.182,0.090
HU03,claude,clases,rougeL,0.221,0.652,0.330
