Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,llama,clases,rouge1,0.146,0.545,0.231
HU01,llama,clases,rouge2,0.050,0.200,0.080
HU01,llama,clases,rougeL,0.146,0.545,0.231
HU01,deepseek,clases,rouge1,0.200,0.727,0.314
HU01,deepseek,clases,rouge2,0.051,0.200,0.082
HU01,deepseek,clases,rougeL,0.200,0.727,0.314
HU01,gemini,clases,rouge1,0.233,0.636,0.341
HU01,gemini,clases,rouge2,0.069,0.200,0.103
HU01,gemini,clases,rougeL,0.200,0.545,0.293
HU01,claude,clases,rouge1,0.222,0.727,0.340
HU01,claude,clases,rouge2,0.057,0.200,0.089
HU01,claude,clases,rougeL,0.194,0.636,0.298
HU01,gpt,clases,rouge1,0.429,0.545,0.480
HU01,gpt,clases,rouge2,0.154,0.200,0.174
HU01,gpt,clases,rougeL,0.429,0.545,0.480
HU01,mistral,clases,rouge1,0.103,0.364,0.160
HU01,mistral,clases,rouge2,0.026,0.100,0.042
HU01,mistral,clases,rougeL,0.103,0.364,0.160
HU02,llama,clases,rouge1,0.179,0.538,0.269
HU02,llama,clases,rouge2,0.053,0.167,0.080
HU02,llama,clases,rougeL,0.154,0.462,0.231
HU02,deepseek,clases,rouge1,0.123,0.615,0.205
HU02,deepseek,clases,rouge2,0.031,0.167,0.053
HU02,deepseek,clases,rougeL,0.108,0.538,0.179
HU02,gemini,clases,rouge1,0.300,0.692,0.419
HU02,gemini,clases,rouge2,0.069,0.167,0.098
HU02,gemini,clases,rougeL,0.233,0.538,0.326
HU02,claude,clases,rouge1,0.257,0.692,0.375
HU02,claude,clases,rouge2,0.059,0.167,0.087
HU02,claude,clases,rougeL,0.200,0.538,0.292
HU02,gpt,clases,rouge1,0.381,0.615,0.471
HU02,gpt,clases,rouge2,0.100,0.167,0.125
HU02,gpt,clases,rougeL,0.333,0.538,0.412
HU03,llama,clases,rouge1,0.239,0.478,0.319
HU03,llama,clases,rouge2,0.067,0.136,0.090
HU03,llama,clases,rougeL,0.217,0.435,0.290
HU03,deepseek,clases,rouge1,0.240,0.522,0.329
HU03,deepseek,clases,rouge2,0.041,0.091,0.056
HU03,deepseek,clases,rougeL,0.180,0.391,0.247
HU03,gemini,clases,rouge1,0.243,0.739,0.366
HU03,gemini,clases,rouge2,0.101,0.318,0.154
HU03,gemini,clases,rougeL,0.200,0.609,0.301
HU03,claude,clases,rouge1,0.262,0.739,0.386
HU03,claude,clases,rouge2,0.141,0.409,0.209
HU03,claude,clases,rougeL,0.262,0.739,0.386
HU03,gpt,clases,rouge1,0.350,0.304,0.326
HU03,gpt,clases,rouge2,0.053,0.045,0.049
HU03,gpt,clases,rougeL,0.350,0.304,0.326
HU03,mistral,clases,rouge1,0.323,0.435,0.370
HU03,mistral,clases,rouge2,0.033,0.045,0.038
HU03,mistral,clases,rougeL,0.226,0.304,0.259
HU04,llama,clases,rouge1,0.294,0.370,0.328
HU04,llama,clases,rouge2,0.091,0.115,0.102
HU04,llama,clases,rougeL,0.265,0.333,0.295
