Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,llama,clases,rouge1,0.188,0.545,0.279
HU01,llama,clases,rouge2,0.065,0.200,0.098
HU01,llama,clases,rougeL,0.188,0.545,0.279
HU01,deepseek,clases,rouge1,0.286,0.545,0.375
HU01,deepseek,clases,rouge2,0.100,0.200,0.133
HU01,deepseek,clases,rougeL,0.286,0.545,0.375
HU01,gemini,clases,rouge1,0.353,0.545,0.429
HU01,gemini,clases,rouge2,0.062,0.100,0.077
HU01,gemini,clases,rougeL,0.294,0.455,0.357
HU01,claude,clases,rouge1,0.220,0.818,0.346
HU01,claude,clases,rouge2,0.050,0.200,0.080
HU01,claude,clases,rougeL,0.220,0.818,0.346
HU01,gpt,clases,rouge1,0.429,0.545,0.480
HU01,gpt,clases,rouge2,0.154,0.200,0.174
HU01,gpt,clases,rougeL,0.429,0.545,0.480
HU01,mistral,clases,rouge1,0.182,0.727,0.291
HU01,mistral,clases,rouge2,0.047,0.200,0.075
HU01,mistral,clases,rougeL,0.159,0.636,0.255
HU02,llama,clases,rouge1,0.265,0.692,0.383
HU02,llama,clases,rouge2,0.061,0.167,0.089
HU02,llama,clases,rougeL,0.206,0.538,0.298
HU02,deepseek,clases,rouge1,0.200,0.462,0.279
HU02,deepseek,clases,rouge2,0.034,0.083,0.049
HU02,deepseek,clases,rougeL,0.167,0.385,0.233
HU02,gemini,clases,rouge1,0.360,0.692,0.474
HU02,gemini,clases,rouge2,0.083,0.167,0.111
HU02,gemini,clases,rougeL,0.280,0.538,0.368
HU02,claude,clases,rouge1,0.229,0.615,0.333
HU02,claude,clases,rouge2,0.059,0.167,0.087
HU02,claude,clases,rougeL,0.200,0.538,0.292
HU02,gpt,clases,rouge1,0.300,0.692,0.419
HU02,gpt,clases,rouge2,0.069,0.167,0.098
HU02,gpt,clases,rougeL,0.233,0.538,0.326
HU02,mistral,clases,rouge1,0.357,0.385,0.370
HU02,mistral,clases,rouge2,0.154,0.167,0.160
HU02,mistral,clases,rougeL,0.357,0.385,0.370
HU03,llama,clases,rouge1,0.345,0.435,0.385
HU03,llama,clases,rouge2,0.179,0.227,0.200
HU03,llama,clases,rougeL,0.310,0.391,0.346
HU03,deepseek,clases,rouge1,0.135,0.652,0.224
HU03,deepseek,clases,rouge2,0.018,0.091,0.030
HU03,deepseek,clases,rougeL,0.117,0.565,0.194
HU03,gemini,clases,rouge1,0.156,0.652,0.252
HU03,gemini,clases,rouge2,0.095,0.409,0.154
HU03,gemini,clases,rougeL,0.146,0.609,0.235
HU03,claude,clases,rouge1,0.262,0.739,0.386
HU03,claude,clases,rouge2,0.141,0.409,0.209
HU03,claude,clases,rougeL,0.262,0.739,0.386
HU03,gpt,clases,rouge1,0.485,0.696,0.571
HU03,gpt,clases,rouge2,0.281,0.409,0.333
HU03,gpt,clases,rougeL,0.424,0.609,0.500
HU03,mistral,clases,rouge1,0.324,0.522,0.400
HU03,mistral,clases,rouge2,0.139,0.227,0.172
HU03,mistral,clases,rougeL,0.297,0.478,0.367
HU04,llama,clases,rouge1,0.191,0.630,0.293
HU04,llama,clases,rouge2,0.057,0.192,0.088
HU04,llama,clases,rougeL,0.169,0.556,0.259
HU04,deepseek,clases,rouge1,0.214,0.667,0.324
HU04,deepseek,clases,rouge2,0.060,0.192,0.092
HU04,deepseek,clases,rougeL,0.179,0.556,0.270
HU04,gemini,clases,rouge1,0.133,0.704,0.224
HU04,gemini,clases,rouge2,0.042,0.231,0.071
HU04,gemini,clases,rougeL,0.119,0.630,0.200
HU04,claude,clases,rouge1,0.188,0.778,0.302
HU04,claude,clases,rouge2,0.045,0.192,0.073
HU04,claude,clases,rougeL,0.170,0.704,0.273
HU04,gpt,clases,rouge1,0.339,0.704,0.458
HU04,gpt,clases,rouge2,0.164,0.346,0.222
HU04,gpt,clases,rougeL,0.321,0.667,0.434
HU04,mistral,clases,rouge1,0.333,0.370,0.351
HU04,mistral,clases,rouge2,0.138,0.154,0.145
HU04,mistral,clases,rougeL,0.300,0.333,0.316
HU05,llama,clases,rouge1,0.136,0.571,0.219
HU05,llama,clases,rouge2,0.034,0.154,0.056
HU05,llama,clases,rougeL,0.136,0.571,0.219
HU05,deepseek,clases,rouge1,0.095,0.571,0.163
HU05,deepseek,clases,rouge2,0.024,0.154,0.042
HU05,deepseek,clases,rougeL,0.083,0.500,0.143
HU05,gemini,clases,rouge1,0.175,0.500,0.259
HU05,gemini,clases,rouge2,0.026,0.077,0.038
HU05,gemini,clases,rougeL,0.175,0.500,0.259
HU05,claude,clases,rouge1,0.194,0.500,0.280
HU05,claude,clases,rouge2,0.029,0.077,0.042
HU05,claude,clases,rougeL,0.194,0.500,0.280
HU05,gpt,clases,rouge1,0.318,0.500,0.389
HU05,gpt,clases,rouge2,0.048,0.077,0.059
HU05,gpt,clases,rougeL,0.318,0.500,0.389
HU05,mistral,clases,rouge1,0.292,0.500,0.368
HU05,mistral,clases,rouge2,0.087,0.154,0.111
HU05,mistral,clases,rougeL,0.250,0.429,0.316
HU06,llama,clases,rouge1,0.130,0.250,0.171
HU06,llama,clases,rouge2,0.019,0.037,0.025
HU06,llama,clases,rougeL,0.111,0.214,0.146
HU06,deepseek,clases,rouge1,0.085,0.250,0.127
HU06,deepseek,clases,rouge2,0.012,0.037,0.019
HU06,deepseek,clases,rougeL,0.073,0.214,0.109
HU06,gemini,clases,rouge1,0.105,0.286,0.154
HU06,gemini,clases,rouge2,0.013,0.037,0.020
HU06,gemini,clases,rougeL,0.092,0.250,0.135
HU06,claude,clases,rouge1,0.122,0.321,0.176
HU06,claude,clases,rouge2,0.014,0.037,0.020
HU06,claude,clases,rougeL,0.108,0.286,0.157
HU06,gpt,clases,rouge1,0.255,0.429,0.320
HU06,gpt,clases,rouge2,0.065,0.111,0.082
HU06,gpt,clases,rougeL,0.234,0.393,0.293
HU06,mistral,clases,rouge1,0.172,0.179,0.175
HU06,mistral,clases,rouge2,0.036,0.037,0.036
HU06,mistral,clases,rougeL,0.172,0.179,0.175
HU07,llama,clases,rouge1,0.118,0.444,0.186
HU07,llama,clases,rouge2,0.030,0.118,0.048
HU07,llama,clases,rougeL,0.118,0.444,0.186
HU07,deepseek,clases,rouge1,0.107,0.500,0.176
HU07,deepseek,clases,rouge2,0.048,0.235,0.080
HU07,deepseek,clases,rougeL,0.095,0.444,0.157
HU07,gemini,clases,rouge1,0.355,0.611,0.449
HU07,gemini,clases,rouge2,0.133,0.235,0.170
HU07,gemini,clases,rougeL,0.290,0.500,0.367
HU07,claude,clases,rouge1,0.385,0.556,0.455
HU07,claude,clases,rouge2,0.200,0.294,0.238
HU07,claude,clases,rougeL,0.346,0.500,0.409
HU07,gpt,clases,rouge1,0.556,0.556,0.556
HU07,gpt,clases,rouge2,0.235,0.235,0.235
HU07,gpt,clases,rougeL,0.444,0.444,0.444
HU08,llama,clases,rouge1,0.306,0.429,0.357
HU08,llama,clases,rouge2,0.104,0.147,0.122
HU08,llama,clases,rougeL,0.265,0.371,0.310
HU08,deepseek,clases,rouge1,0.478,0.314,0.379
HU08,deepseek,clases,rouge2,0.227,0.147,0.179
HU08,deepseek,clases,rougeL,0.435,0.286,0.345
HU08,gemini,clases,rouge1,0.219,0.714,0.336
HU08,gemini,clases,rouge2,0.097,0.324,0.150
HU08,gemini,clases,rougeL,0.193,0.629,0.295
HU08,claude,clases,rouge1,0.362,0.600,0.452
HU08,claude,clases,rouge2,0.158,0.265,0.198
HU08,claude,clases,rougeL,0.310,0.514,0.387
HU08,gpt,clases,rouge1,0.655,0.543,0.594
HU08,gpt,clases,rouge2,0.214,0.176,0.194
HU08,gpt,clases,rougeL,0.483,0.400,0.438
HU08,mistral,clases,rouge1,0.462,0.343,0.393
HU08,mistral,clases,rouge2,0.200,0.147,0.169
HU08,mistral,clases,rougeL,0.462,0.343,0.393
HU09,llama,clases,rouge1,0.400,0.474,0.434
HU09,llama,clases,rouge2,0.205,0.243,0.222
HU09,llama,clases,rougeL,0.333,0.395,0.361
HU09,gemini,clases,rouge1,0.737,0.368,0.491
HU09,gemini,clases,rouge2,0.333,0.162,0.218
HU09,gemini,clases,rougeL,0.632,0.316,0.421
HU09,claude,clases,rouge1,0.304,0.447,0.362
HU09,claude,clases,rouge2,0.127,0.189,0.152
HU09,claude,clases,rougeL,0.250,0.368,0.298
HU09,gpt,clases,rouge1,0.459,0.447,0.453
HU09,gpt,clases,rouge2,0.194,0.189,0.192
HU09,gpt,clases,rougeL,0.405,0.395,0.400
HU09,mistral,clases,rouge1,0.720,0.474,0.571
HU09,mistral,clases,rouge2,0.375,0.243,0.295
HU09,mistral,clases,rougeL,0.640,0.421,0.508
HU10,llama,clases,rouge1,0.161,0.231,0.189
HU10,llama,clases,rouge2,0.036,0.053,0.043
HU10,llama,clases,rougeL,0.161,0.231,0.189
HU10,deepseek,clases,rouge1,0.500,0.103,0.170
HU10,deepseek,clases,rouge2,0.000,0.000,0.000
HU10,deepseek,clases,rougeL,0.500,0.103,0.170
HU10,gemini,clases,rouge1,0.173,0.333,0.228
HU10,gemini,clases,rouge2,0.027,0.053,0.036
HU10,gemini,clases,rougeL,0.147,0.282,0.193
HU10,claude,clases,rouge1,0.235,0.487,0.317
HU10,claude,clases,rouge2,0.050,0.105,0.068
HU10,claude,clases,rougeL,0.222,0.462,0.300
HU10,gpt,clases,rouge1,0.263,0.256,0.260
HU10,gpt,clases,rouge2,0.081,0.079,0.080
HU10,gpt,clases,rougeL,0.237,0.231,0.234
