Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,llama,clases,rouge1,0.161,0.455,0.238
HU01,llama,clases,rouge2,0.033,0.100,0.050
HU01,llama,clases,rougeL,0.161,0.455,0.238
HU01,deepseek,clases,rouge1,0.261,0.545,0.353
HU01,deepseek,clases,rouge2,0.091,0.200,0.125
HU01,deepseek,clases,rougeL,0.261,0.545,0.353
HU01,gemini,clases,rouge1,0.100,0.364,0.157
HU01,gemini,clases,rouge2,0.026,0.100,0.041
HU01,gemini,clases,rougeL,0.100,0.364,0.157
HU01,claude,clases,rouge1,0.222,0.727,0.340
HU01,claude,clases,rouge2,0.057,0.200,0.089
HU01,claude,clases,rougeL,0.194,0.636,0.298
HU01,gpt,clases,rouge1,0.190,0.727,0.302
HU01,gpt,clases,rouge2,0.049,0.200,0.078
HU01,gpt,clases,rougeL,0.190,0.727,0.302
HU01,mistral,clases,rouge1,0.194,0.636,0.298
HU01,mistral,clases,rouge2,0.057,0.200,0.089
HU01,mistral,clases,rougeL,0.167,0.545,0.255
HU02,llama,clases,rouge1,0.250,0.538,0.341
HU02,llama,clases,rouge2,0.074,0.167,0.103
HU02,llama,clases,rougeL,0.214,0.462,0.293
HU02,deepseek,clases,rouge1,0.294,0.385,0.333
HU02,deepseek,clases,rouge2,0.062,0.083,0.071
HU02,deepseek,clases,rougeL,0.294,0.385,0.333
HU02,gemini,clases,rouge1,0.360,0.692,0.474
HU02,gemini,clases,rouge2,0.083,0.167,0.111
HU02,gemini,clases,rougeL,0.280,0.538,0.368
HU02,claude,clases,rouge1,0.229,0.615,0.333
HU02,claude,clases,rouge2,0.059,0.167,0.087
HU02,claude,clases,rougeL,0.200,0.538,0.292
HU02,gpt,clases,rouge1,0.364,0.615,0.457
HU02,gpt,clases,rouge2,0.095,0.167,0.121
HU02,gpt,clases,rougeL,0.318,0.538,0.400
HU02,mistral,clases,rouge1,0.357,0.385,0.370
HU02,mistral,clases,rouge2,0.154,0.167,0.160
HU02,mistral,clases,rougeL,0.357,0.385,0.370
HU03,llama,clases,rouge1,0.326,0.609,0.424
HU03,llama,clases,rouge2,0.143,0.273,0.187
HU03,llama,clases,rougeL,0.279,0.522,0.364
HU03,deepseek,clases,rouge1,0.152,0.304,0.203
HU03,deepseek,clases,rouge2,0.022,0.045,0.030
HU03,deepseek,clases,rougeL,0.152,0.304,0.203
HU03,gemini,clases,rouge1,0.215,0.609,0.318
