Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,llama,clases,rouge1,0.182,0.545,0.273
HU01,llama,clases,rouge2,0.062,0.200,0.095
HU01,llama,clases,rougeL,0.182,0.545,0.273
HU01,deepseek,clases,rouge1,0.167,0.545,0.255
HU01,deepseek,clases,rouge2,0.057,0.200,0.089
HU01,deepseek,clases,rougeL,0.167,0.545,0.255
HU01,gemini,clases,rouge1,0.098,0.455,0.161
HU01,gemini,clases,rouge2,0.020,0.100,0.033
HU01,gemini,clases,rougeL,0.098,0.455,0.161
HU01,claude,clases,rouge1,0.243,0.818,0.375
HU01,claude,clases,rouge2,0.056,0.200,0.087
HU01,claude,clases,rougeL,0.243,0.818,0.375
HU01,gpt,clases,rouge1,0.300,0.818,0.439
HU01,gpt,clases,rouge2,0.069,0.200,0.103
HU01,gpt,clases,rougeL,0.267,0.727,0.390
HU01,mistral,clases,rouge1,0.176,0.545,0.267
HU01,mistral,clases,rouge2,0.061,0.200,0.093
HU01,mistral,clases,rougeL,0.147,0.455,0.222
HU02,llama,clases,rouge1,0.235,0.615,0.340
HU02,llama,clases,rouge2,0.061,0.167,0.089
HU02,llama,clases,rougeL,0.176,0.462,0.255
HU02,deepseek,clases,rouge1,0.145,0.615,0.235
HU02,deepseek,clases,rouge2,0.037,0.167,0.061
HU02,deepseek,clases,rougeL,0.127,0.538,0.206
HU02,gemini,clases,rouge1,0.310,0.692,0.429
HU02,gemini,clases,rouge2,0.071,0.167,0.100
HU02,gemini,clases,rougeL,0.241,0.538,0.333
HU02,claude,clases,rouge1,0.229,0.615,0.333
HU02,claude,clases,rouge2,0.059,0.167,0.087
HU02,claude,clases,rougeL,0.200,0.538,0.292
HU02,gpt,clases,rouge1,0.364,0.615,0.457
HU02,gpt,clases,rouge2,0.095,0.167,0.121
HU02,gpt,clases,rougeL,0.318,0.538,0.400
HU02,mistral,clases,rouge1,0.333,0.615,0.432
HU02,mistral,clases,rouge2,0.130,0.250,0.171
HU02,mistral,clases,rougeL,0.250,0.462,0.324
HU03,llama,clases,rouge1,0.293,0.522,0.375
HU03,llama,clases,rouge2,0.075,0.136,0.097
HU03,llama,clases,rougeL,0.244,0.435,0.312
HU03,deepseek,clases,rouge1,0.241,0.304,0.269
HU03,deepseek,clases,rouge2,0.071,0.091,0.080
HU03,deepseek,clases,rougeL,0.241,0.304,0.269
HU03,gemini,clases,rouge1,0.185,0.652,0.288
HU03,gemini,clases,rouge2,0.113,0.409,0.176
HU03,gemini,clases,rougeL,0.173,0.609,0.269
HU03,claude,clases,rouge1,0.258,0.739,0.382
HU03,claude,clases,rouge2,0.138,0.409,0.207
HU03,claude,clases,rougeL,0.258,0.739,0.382
HU03,gpt,clases,rouge1,0.412,0.609,0.491
HU03,gpt,clases,rouge2,0.182,0.273,0.218
HU03,gpt,clases,rougeL,0.353,0.522,0.421
HU03,mistral,clases,rouge1,0.255,0.609,0.359
HU03,mistral,clases,rouge2,0.056,0.136,0.079
HU03,mistral,clases,rougeL,0.200,0.478,0.282
HU04,llama,clases,rouge1,0.203,0.444,0.279
HU04,llama,clases,rouge2,0.069,0.154,0.095
HU04,llama,clases,rougeL,0.186,0.407,0.256
HU04,deepseek,clases,rouge1,0.174,0.296,0.219
HU04,deepseek,clases,rouge2,0.022,0.038,0.028
HU04,deepseek,clases,rougeL,0.152,0.259,0.192
HU04,gemini,clases,rouge1,0.228,0.778,0.353
HU04,gemini,clases,rouge2,0.099,0.346,0.154
HU04,gemini,clases,rougeL,0.228,0.778,0.353
HU04,claude,clases,rouge1,0.192,0.741,0.305
HU04,claude,clases,rouge2,0.049,0.192,0.078
HU04,claude,clases,rougeL,0.183,0.704,0.290
HU04,gpt,clases,rouge1,0.228,0.481,0.310
HU04,gpt,clases,rouge2,0.071,0.154,0.098
HU04,gpt,clases,rougeL,0.211,0.444,0.286
HU04,mistral,clases,rouge1,0.225,0.333,0.269
HU04,mistral,clases,rouge2,0.077,0.115,0.092
HU04,mistral,clases,rougeL,0.225,0.333,0.269
HU05,llama,clases,rouge1,0.179,0.500,0.264
HU05,llama,clases,rouge2,0.053,0.154,0.078
HU05,llama,clases,rougeL,0.154,0.429,0.226
HU05,deepseek,clases,rouge1,0.176,0.429,0.250
HU05,deepseek,clases,rouge2,0.030,0.077,0.043
HU05,deepseek,clases,rougeL,0.176,0.429,0.250
HU05,gemini,clases,rouge1,0.143,0.500,0.222
HU05,gemini,clases,rouge2,0.021,0.077,0.033
HU05,gemini,clases,rougeL,0.143,0.500,0.222
HU05,claude,clases,rouge1,0.137,0.500,0.215
HU05,claude,clases,rouge2,0.020,0.077,0.032
HU05,claude,clases,rougeL,0.137,0.500,0.215
HU05,gpt,clases,rouge1,0.261,0.429,0.324
HU05,gpt,clases,rouge2,0.045,0.077,0.057
HU05,gpt,clases,rougeL,0.261,0.429,0.324
HU05,mistral,clases,rouge1,0.235,0.571,0.333
HU05,mistral,clases,rouge2,0.061,0.154,0.087
HU05,mistral,clases,rougeL,0.235,0.571,0.333
HU06,llama,clases,rouge1,0.143,0.179,0.159
HU06,llama,clases,rouge2,0.029,0.037,0.033
HU06,llama,clases,rougeL,0.143,0.179,0.159
HU06,deepseek,clases,rouge1,0.111,0.143,0.125
HU06,deepseek,clases,rouge2,0.029,0.037,0.032
HU06,deepseek,clases,rougeL,0.111,0.143,0.125
HU06,gemini,clases,rouge1,0.102,0.214,0.138
HU06,gemini,clases,rouge2,0.017,0.037,0.024
HU06,gemini,clases,rougeL,0.102,0.214,0.138
HU06,claude,clases,rouge1,0.122,0.321,0.176
HU06,claude,clases,rouge2,0.014,0.037,0.020
HU06,claude,clases,rougeL,0.108,0.286,0.157
HU06,gpt,clases,rouge1,0.250,0.179,0.208
HU06,gpt,clases,rouge2,0.053,0.037,0.043
HU06,gpt,clases,rougeL,0.250,0.179,0.208
HU06,mistral,clases,rouge1,0.226,0.250,0.237
HU06,mistral,clases,rouge2,0.033,0.037,0.035
