Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU01,deepseek,clases,rouge1,0.353,0.545,0.429
HU01,deepseek,clases,rouge2,0.125,0.200,0.154
HU01,deepseek,clases,rougeL,0.353,0.545,0.429
HU01,gemini,clases,rouge1,0.175,0.636,0.275
HU01,gemini,clases,rouge2,0.051,0.200,0.082
HU01,gemini,clases,rougeL,0.175,0.636,0.275
HU01,claude,clases,rouge1,0.150,0.818,0.254
HU01,claude,clases,rouge2,0.034,0.200,0.058
HU01,claude,clases,rougeL,0.133,0.727,0.225
HU01,gpt,clases,rouge1,0.350,0.636,0.452
HU01,gpt,clases,rouge2,0.158,0.300,0.207
HU01,gpt,clases,rougeL,0.350,0.636,0.452
HU01,mistral,clases,rouge1,0.216,0.727,0.333
HU01,mistral,clases,rouge2,0.056,0.200,0.087
HU01,mistral,clases,rougeL,0.216,0.727,0.333
HU02,deepseek,clases,rouge1,0.163,0.538,0.250
HU02,deepseek,clases,rouge2,0.048,0.167,0.074
HU02,deepseek,clases,rougeL,0.140,0.462,0.214
HU02,gemini,clases,rouge1,0.375,0.692,0.486
HU02,gemini,clases,rouge2,0.087,0.167,0.114
HU02,gemini,clases,rougeL,0.292,0.538,0.378
HU02,claude,clases,rouge1,0.205,0.615,0.308
HU02,claude,clases,rouge2,0.053,0.167,0.080
HU02,claude,clases,rougeL,0.179,0.538,0.269
HU02,gpt,clases,rouge1,0.500,0.615,0.552
HU02,gpt,clases,rouge2,0.133,0.167,0.148
HU02,gpt,clases,rougeL,0.438,0.538,0.483
HU02,mistral,clases,rouge1,0.381,0.615,0.471
HU02,mistral,clases,rouge2,0.100,0.167,0.125
HU02,mistral,clases,rougeL,0.286,0.462,0.353
HU03,llama,clases,rouge1,0.316,0.261,0.286
HU03,llama,clases,rouge2,0.111,0.091,0.100
HU03,llama,clases,rougeL,0.316,0.261,0.286
HU03,gemini,clases,rouge1,0.163,0.565,0.252
HU03,gemini,clases,rouge2,0.089,0.318,0.139
HU03,gemini,clases,rougeL,0.150,0.522,0.233
HU03,claude,clases,rouge1,0.212,0.739,0.330
HU03,claude,clases,rouge2,0.101,0.364,0.158
HU03,claude,clases,rougeL,0.212,0.739,0.330
HU03,gpt,clases,rouge1,0.483,0.609,0.538
HU03,gpt,clases,rouge2,0.179,0.227,0.200
