Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU07,claude,clases,rougeL,0.306,0.611,0.407
HU07,gpt,clases,rouge1,0.375,0.667,0.480
HU07,gpt,clases,rouge2,0.129,0.235,0.167
HU07,gpt,clases,rougeL,0.375,0.667,0.480
HU08,llama,clases,rouge1,0.340,0.514,0.409
HU08,llama,clases,rouge2,0.115,0.176,0.140
HU08,llama,clases,rougeL,0.283,0.429,0.341
HU08,deepseek,clases,rouge1,0.395,0.429,0.411
HU08,deepseek,clases,rouge2,0.135,0.147,0.141
HU08,deepseek,clases,rougeL,0.316,0.343,0.329
HU08,gemini,clases,rouge1,0.514,0.514,0.514
HU08,gemini,clases,rouge2,0.235,0.235,0.235
HU08,gemini,clases,rougeL,0.457,0.457,0.457
HU08,claude,clases,rouge1,0.438,0.600,0.506
HU08,claude,clases,rouge2,0.170,0.235,0.198
HU08,claude,clases,rougeL,0.396,0.543,0.458
HU08,gpt,clases,rouge1,0.472,0.486,0.479
HU08,gpt,clases,rouge2,0.229,0.235,0.232
HU08,gpt,clases,rougeL,0.389,0.400,0.394
HU08,mistral,clases,rouge1,0.545,0.343,0.421
HU08,mistral,clases,rouge2,0.143,0.088,0.109
HU08,mistral,clases,rougeL,0.500,0.314,0.386
HU09,deepseek,clases,rouge1,0.167,0.500,0.250
HU09,deepseek,clases,rouge2,0.062,0.189,0.093
HU09,deepseek,clases,rougeL,0.114,0.342,0.171
HU09,gemini,clases,rouge1,0.434,0.605,0.505
HU09,gemini,clases,rouge2,0.173,0.243,0.202
HU09,gemini,clases,rougeL,0.340,0.474,0.396
HU09,claude,clases,rouge1,0.265,0.342,0.299
HU09,claude,clases,rouge2,0.125,0.162,0.141
HU09,claude,clases,rougeL,0.224,0.289,0.253
HU09,gpt,clases,rouge1,0.349,0.579,0.436
HU09,gpt,clases,rouge2,0.113,0.189,0.141
HU09,gpt,clases,rougeL,0.270,0.447,0.337
HU09,mistral,clases,rouge1,0.720,0.474,0.571
HU09,mistral,clases,rouge2,0.375,0.243,0.295
HU09,mistral,clases,rougeL,0.640,0.421,0.508
HU10,deepseek,clases,rouge1,0.205,0.231,0.217
HU10,deepseek,clases,rouge2,0.070,0.079,0.074
HU10,deepseek,clases,rougeL,0.159,0.179,0.169
HU10,gemini,clases,rouge1,0.194,0.308,0.238
HU10,gemini,clases,rouge2,0.033,0.053,0.040
HU10,gemini,clases,rougeL,0.177,0.282,0.218
HU10,claude,clases,rouge1,0.225,0.462,0.303
HU10,claude,clases,rouge2,0.038,0.079,0.051
HU10,claude,clases,rougeL,0.188,0.385,0.252
HU10,gpt,clases,rouge1,0.345,0.256,0.294
HU10,gpt,clases,rouge2,0.107,0.079,0.091
HU10,gpt,clases,rougeL,0.310,0.231,0.265
HU10,mistral,clases,rouge1,0.312,0.256,0.282
HU10,mistral,clases,rouge2,0.129,0.105,0.116
HU10,mistral,clases,rougeL,0.312,0.256,0.282
