Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Precisión,Recall,Medida F1
HU07,gemini,clases,rougeL,0.135,0.556,0.217
HU07,claude,clases,rouge1,0.306,0.611,0.407
HU07,claude,clases,rouge2,0.143,0.294,0.192
HU07,claude,clases,rougeL,0.306,0.611,0.407
HU07,gpt,clases,rouge1,0.625,0.556,0.588
HU07,gpt,clases,rouge2,0.333,0.294,0.312
HU07,gpt,clases,rougeL,0.562,0.500,0.529
HU07,mistral,clases,rouge1,0.308,0.444,0.364
HU07,mistral,clases,rouge2,0.160,0.235,0.190
HU07,mistral,clases,rougeL,0.269,0.389,0.318
HU08,deepseek,clases,rouge1,0.419,0.371,0.394
HU08,deepseek,clases,rouge2,0.133,0.118,0.125
HU08,deepseek,clases,rougeL,0.387,0.343,0.364
HU08,gemini,clases,rouge1,0.586,0.486,0.531
HU08,gemini,clases,rouge2,0.214,0.176,0.194
HU08,gemini,clases,rougeL,0.517,0.429,0.469
HU08,claude,clases,rouge1,0.438,0.600,0.506
HU08,claude,clases,rouge2,0.170,0.235,0.198
HU08,claude,clases,rougeL,0.396,0.543,0.458
HU08,gpt,clases,rouge1,0.760,0.543,0.633
HU08,gpt,clases,rouge2,0.417,0.294,0.345
HU08,gpt,clases,rougeL,0.560,0.400,0.467
HU08,mistral,clases,rouge1,0.591,0.371,0.456
HU08,mistral,clases,rouge2,0.238,0.147,0.182
HU08,mistral,clases,rougeL,0.591,0.371,0.456
HU09,llama,clases,rouge1,0.395,0.395,0.395
HU09,llama,clases,rouge2,0.189,0.189,0.189
HU09,llama,clases,rougeL,0.316,0.316,0.316
HU09,deepseek,clases,rouge1,0.254,0.421,0.317
HU09,deepseek,clases,rouge2,0.081,0.135,0.101
HU09,deepseek,clases,rougeL,0.206,0.342,0.257
HU09,gemini,clases,rouge1,0.474,0.474,0.474
HU09,gemini,clases,rouge2,0.162,0.162,0.162
HU09,gemini,clases,rougeL,0.421,0.421,0.421
HU09,claude,clases,rouge1,0.314,0.421,0.360
HU09,claude,clases,rouge2,0.120,0.162,0.138
HU09,claude,clases,rougeL,0.235,0.316,0.270
HU09,gpt,clases,rouge1,0.280,0.605,0.383
HU09,gpt,clases,rouge2,0.086,0.189,0.119
HU09,gpt,clases,rougeL,0.220,0.474,0.300
HU09,mistral,clases,rouge1,0.720,0.474,0.571
HU09,mistral,clases,rouge2,0.375,0.243,0.295
HU09,mistral,clases,rougeL,0.640,0.421,0.508
HU10,gemini,clases,rouge1,0.191,0.333,0.243
HU10,gemini,clases,rouge2,0.045,0.079,0.057
HU10,gemini,clases,rougeL,0.176,0.308,0.224
HU10,claude,clases,rouge1,0.239,0.410,0.302
HU10,claude,clases,rouge2,0.045,0.079,0.058
HU10,claude,clases,rougeL,0.209,0.359,0.264
HU10,gpt,clases,rouge1,0.333,0.256,0.290
HU10,gpt,clases,rouge2,0.103,0.079,0.090
HU10,gpt,clases,rougeL,0.267,0.205,0.232
HU10,mistral,clases,rouge1,0.400,0.256,0.312
HU10,mistral,clases,rouge2,0.125,0.079,0.097
HU10,mistral,clases,rougeL,0.400,0.256,0.312
